age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
50,Private,243414,HS-grad,Divorced,?,Not-in-family,White,Male,0,0,40,United-States,<=50K
21,Private,221283,Some-college,Never-married,Prof-specialty,Own-child,White,Female,0,0,20,United-States,<=50K.
35,Private,217276,HS-grad,Never-married,?,Unmarried,White,Female,0,0,25,United-States,<=50K
23,Private,225531,Some-college,Never-married,?,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
46,Private,385512,HS-grad,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,>50K.
48,Private,463262,Some-college,Divorced,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K.
74,Local-gov,158545,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,31,United-States,>50K
70,Private,107057,Masters,Divorced,Exec-managerial,Unmarried,White,Female,0,0,50,United-States,<=50K.
49,State-gov,211521,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1799,17,United-States,<=50K
25,Private,179730,HS-grad,Never-married,Adm-clerical,Own-child,Black,Male,0,0,40,United-States,<=50K.
60,Private,94386,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
42,Private,389506,Bachelors,Married-civ-spouse,?,Husband,White,Male,0,0,99,United-States,<=50K
42,Self-emp-not-inc,212002,Prof-school,Married-civ-spouse,?,Husband,White,Male,0,0,60,United-States,<=50K
21,Private,135517,Some-college,Married-civ-spouse,Handlers-cleaners,Own-child,White,Female,0,0,40,United-States,<=50K
31,Private,232673,Some-college,Never-married,Tech-support,Own-child,Black,Female,0,0,56,United-States,<=50K.
20,?,327861,Some-college,Never-married,?,Own-child,White,Male,0,0,6,United-States,<=50K
53,Private,386486,Doctorate,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,61,United-States,>50K
61,Federal-gov,127908,Masters,Widowed,?,Wife,White,Male,0,0,60,United-States,<=50K
30,Private,358314,Some-college,Never-married,Sales,Own-child,White,Female,0,0,56,United-States,<=50K
42,Private,239654,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,<=50K
34,Private,133133,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
24,Private,134353,HS-grad,Never-married,Other-service,Unmarried,White,Female,0,0,56,United-States,<=50K.
25,?,181214,1st-4th,Married-civ-spouse,Sales,Own-child,White,Male,0,0,50,United-States,<=50K
48,Private,291685,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,1862,40,United-States,<=50K
41,Private,306513,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,14058,0,25,United-States,<=50K
43,Self-emp-not-inc,33898,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,60,United-States,>50K
30,Private,346289,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
44,Private,299556,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,8383,1868,50,United-States,>50K
27,Self-emp-not-inc,123483,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
48,Private,371971,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K.
41,Private,214540,Prof-school,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,>50K
25,State-gov,190757,Bachelors,Never-married,Exec-managerial,Own-child,White,Male,0,1890,45,China,<=50K
28,Private,103325,HS-grad,Divorced,Adm-clerical,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K.
41,Local-gov,357853,Bachelors,Never-married,Prof-specialty,Wife,White,Female,0,1968,50,United-States,<=50K
39,Private,85213,Some-college,Never-married,?,Husband,White,Male,14497,0,25,United-States,<=50K
36,Private,136028,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
53,Private,88964,Some-college,Widowed,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
36,Private,76692,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K.
24,?,361219,Assoc-acdm,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Canada,<=50K
37,Local-gov,134127,HS-grad,Separated,Adm-clerical,Own-child,Black,Female,0,0,40,Mexico,<=50K
66,Private,207956,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K.
36,Private,302533,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,Mexico,<=50K
34,Self-emp-inc,290312,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
21,Self-emp-not-inc,352984,Some-college,Never-married,Sales,Own-child,White,Male,0,0,78,United-States,<=50K
75,Local-gov,207495,5th-6th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K.
28,Private,494433,HS-grad,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K.
39,Private,236117,Bachelors,Separated,Adm-clerical,Wife,White,Female,14900,1907,40,United-States,<=50K.
22,Private,306594,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Mexico,<=50K.
36,Private,132562,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,0,1848,55,South,>50K.
36,Self-emp-not-inc,131472,HS-grad,Never-married,Priv-house-serv,Not-in-family,White,Male,0,0,50,United-States,<=50K
23,Private,215548,Bachelors,Never-married,Sales,Own-child,White,Male,0,0,50,United-States,<=50K.
20,Private,167074,HS-grad,Separated,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
