age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
34,Private,196611,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K.
57,Self-emp-inc,250045,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,>50K
37,Private,373721,Masters,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K.
23,Private,241466,HS-grad,Never-married,Sales,Not-in-family,Black,Male,0,0,40,United-States,<=50K
27,Private,216736,HS-grad,Never-married,Protective-serv,Not-in-family,White,Male,0,0,25,United-States,<=50K
47,Private,442512,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K.
32,State-gov,220264,HS-grad,Married-civ-spouse,?,Own-child,White,Female,0,0,40,United-States,>50K
53,Private,225792,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,7599,1799,40,United-States,>50K.
76,Private,189200,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K.
52,Private,215609,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
22,Self-emp-not-inc,182262,Some-college,Never-married,Sales,Own-child,White,Female,0,0,16,Germany,<=50K
26,Federal-gov,134521,HS-grad,Never-married,Sales,Not-in-family,White,Male,0,0,30,United-States,<=50K
40,Private,357977,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K.
41,Private,127417,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1974,40,United-States,<=50K
27,Private,375056,12th,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,<=50K
37,Private,225238,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,45,United-States,>50K.
32,Private,232584,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,Mexico,<=50K.
54,Private,112733,Bachelors,Never-married,Protective-serv,Wife,White,Male,0,0,50,United-States,>50K
42,Private,205216,Some-college,Divorced,Machine-op-inspct,Husband,White,Male,0,0,80,United-States,<=50K.
51,Private,55806,HS-grad,Divorced,Prof-specialty,Unmarried,White,Male,0,0,40,United-States,<=50K
25,Private,807591,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,>50K
40,Private,366551,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,>50K
