age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
64,Private,202160,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,20,United-States,<=50K
72,?,239156,HS-grad,Divorced,?,Unmarried,Amer-Indian-Eskimo,Male,0,0,31,United-States,<=50K
35,Self-emp-not-inc,200587,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,11,United-States,<=50K
24,Private,98325,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
30,Private,245296,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
26,?,129996,Some-college,Married-civ-spouse,?,Husband,Black,Male,0,0,55,United-States,<=50K
48,Private,340377,Some-college,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,25,United-States,<=50K
43,Local-gov,449702,Assoc-acdm,Never-married,Other-service,Not-in-family,Black,Female,0,0,40,United-States,<=50K
47,Private,220838,HS-grad,Divorced,?,Husband,White,Female,0,0,32,Mexico,<=50K
60,Local-gov,203849,HS-grad,Married-civ-spouse,Other-service,Husband,Black,Female,0,0,31,United-States,<=50K
25,Private,120652,11th,Married-civ-spouse,Sales,Unmarried,White,Male,0,0,31,United-States,<=50K
24,Private,117427,Bachelors,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
24,Private,365539,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
25,Private,357237,HS-grad,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,<=50K
33,Private,341187,10th,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,0,0,40,?,<=50K
48,Private,229106,Assoc-voc,Married-civ-spouse,Handlers-cleaners,Unmarried,Other,Male,0,0,45,China,<=50K
48,Self-emp-not-inc,126556,HS-grad,Married-civ-spouse,Other-service,Husband,Amer-Indian-Eskimo,Male,0,0,31,United-States,<=50K
57,Private,174507,Some-college,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,South,>50K
18,Private,200869,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K.
38,Private,137576,10th,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Female,0,0,30,Japan,<=50K
24,Private,51711,HS-grad,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Female,0,0,55,Mexico,<=50K
52,Private,364518,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,50,United-States,>50K.
27,Private,110296,10th,Never-married,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Male,0,0,40,Ecuador,<=50K
53,Private,283394,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,15136,0,40,United-States,<=50K
29,Private,135742,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
40,Self-emp-not-inc,236629,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K.
41,Local-gov,576916,Bachelors,Never-married,Protective-serv,Own-child,Black,Male,0,0,81,Puerto-Rico,>50K.
20,Private,212341,HS-grad,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Female,0,0,40,Mexico,<=50K.
32,Private,376193,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,Mexico,<=50K.
