age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
35,Private,205731,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,21,United-States,<=50K
37,Self-emp-not-inc,261288,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,31,United-States,<=50K.
54,Private,362971,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K.
29,Private,47208,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
28,Private,140939,HS-grad,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,0,0,40,India,>50K.
25,Private,177354,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,<=50K
31,Private,216980,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,55,United-States,<=50K.
38,Private,137350,Some-college,Divorced,Transport-moving,Wife,White,Male,0,0,31,Germany,<=50K
25,Private,101261,Some-college,Never-married,Exec-managerial,Own-child,White,Female,0,0,20,United-States,<=50K
51,Private,87103,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K.
33,Local-gov,232506,Some-college,Married-civ-spouse,?,Husband,White,Male,0,0,30,United-States,>50K
32,Private,200659,7th-8th,Widowed,Machine-op-inspct,Not-in-family,White,Male,0,0,84,United-States,<=50K
56,Private,95456,Assoc-acdm,Married-civ-spouse,Tech-support,Wife,White,Male,0,0,40,United-States,>50K.
30,Private,32809,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,20,United-States,>50K.
20,Private,151193,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,0,0,20,United-States,<=50K
51,Private,180512,11th,Married-civ-spouse,Sales,Husband,White,Male,0,1953,65,United-States,>50K
26,Private,405246,Some-college,Separated,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
23,Private,197519,HS-grad,Never-married,Sales,Not-in-family,White,Female,0,0,16,United-States,<=50K
17,Private,256866,HS-grad,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
30,Private,133176,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K.
39,Private,341590,Some-college,Divorced,Transport-moving,Husband,White,Male,0,0,40,Mexico,<=50K
46,Private,402355,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,<=50K
18,Private,152865,HS-grad,Never-married,Other-service,Own-child,White,Female,0,0,55,United-States,<=50K.
64,Local-gov,122648,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,>50K
34,Self-emp-inc,213705,HS-grad,Married-civ-spouse,Handlers-cleaners,Other-relative,Black,Male,0,0,40,?,<=50K.
42,Private,350887,Prof-school,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K.
63,Self-emp-not-inc,432153,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,25,United-States,>50K
32,State-gov,41072,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
47,?,91956,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
17,Private,262964,HS-grad,Never-married,Other-service,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
43,Private,344278,Some-college,Never-married,Sales,Not-in-family,White,Male,0,0,25,United-States,<=50K.
46,Private,193161,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
59,Private,312666,Bachelors,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,40,United-States,>50K.
39,Private,241400,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
32,Private,237625,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K.
40,Private,429662,HS-grad,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,21,United-States,<=50K.
