age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
24,Federal-gov,194052,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,14871,0,40,United-States,<=50K.
40,Private,282127,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K
23,Private,226268,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,0,0,20,United-States,<=50K
39,Private,82818,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,14660,2000,30,United-States,<=50K
29,Local-gov,368726,Bachelors,Never-married,Prof-specialty,Wife,White,Female,0,1893,45,United-States,<=50K
45,Private,135290,Some-college,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,>50K
65,Private,443258,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
54,Private,110301,Some-college,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
31,Private,60640,Masters,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,India,<=50K.
44,Self-emp-inc,113299,Bachelors,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,59,Philippines,>50K
57,Private,225319,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,14705,0,45,United-States,>50K
52,Private,32914,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
20,Private,201242,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K
55,Private,98349,HS-grad,Separated,Other-service,Unmarried,White,Female,0,0,56,United-States,<=50K
27,Private,149429,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K.
38,Private,221786,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,1972,50,United-States,<=50K
39,Local-gov,290041,9th,Never-married,Other-service,Own-child,Black,Female,0,0,40,United-States,<=50K
23,Private,93843,Assoc-voc,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
41,Private,227269,HS-grad,Married-civ-spouse,Sales,Own-child,White,Male,0,0,31,United-States,<=50K
33,Private,209192,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K.
49,Private,502780,HS-grad,Divorced,Protective-serv,Not-in-family,Black,Male,0,0,87,United-States,<=50K
35,Private,357253,Assoc-voc,Married-civ-spouse,Other-service,Other-relative,Asian-Pac-Islander,Male,0,0,40,Thailand,<=50K
69,Local-gov,197449,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,97,United-States,<=50K
57,Private,224805,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
28,Private,337865,Some-college,Never-married,Sales,Husband,Black,Male,0,0,66,United-States,<=50K
36,Private,206923,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,>50K
46,Private,217449,HS-grad,Divorced,Other-service,Not-in-family,White,Male,14529,0,29,United-States,<=50K
64,Private,218686,9th,Divorced,Farming-fishing,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
45,Private,295805,Masters,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,<=50K.
26,State-gov,46058,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,0,77,United-States,<=50K
62,Self-emp-inc,208364,Prof-school,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,35,United-States,>50K
31,Private,132735,HS-grad,Married-civ-spouse,?,Own-child,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
