age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
44,Private,34030,11th,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
35,Private,112117,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
58,Private,146540,Doctorate,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,>50K
61,Local-gov,236210,Some-college,Separated,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K
22,Private,351693,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,0,0,32,United-States,<=50K
48,Private,380966,Some-college,Married-civ-spouse,Other-service,Husband,White,Female,0,0,45,United-States,<=50K
27,?,240074,HS-grad,Divorced,?,Not-in-family,White,Male,0,0,40,United-States,<=50K
33,Private,139909,5th-6th,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,26,United-States,<=50K.
38,Private,129645,Some-college,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K.
29,Private,167195,Some-college,Never-married,Protective-serv,Husband,White,Male,0,0,40,Puerto-Rico,>50K.
30,Federal-gov,158013,Bachelors,Never-married,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
34,Private,181997,1st-4th,Separated,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,0,0,55,United-States,<=50K.
53,Federal-gov,113141,Masters,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,1949,60,United-States,>50K
56,Local-gov,377819,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,70,United-States,>50K
43,Private,141098,Assoc-voc,Never-married,Prof-specialty,Unmarried,Black,Female,0,0,56,United-States,<=50K
70,Self-emp-not-inc,213106,Assoc-voc,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,United-States,>50K
73,Self-emp-not-inc,39500,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K.
40,State-gov,235232,HS-grad,Married-civ-spouse,Sales,Husband,White,Female,0,0,40,United-States,<=50K
42,Private,163725,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,26,United-States,<=50K.
20,Private,465709,Some-college,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K.
32,Private,224223,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,50,United-States,<=50K
50,Private,213707,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,20,United-States,>50K
26,Private,260500,10th,Widowed,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K.
26,Private,265530,Prof-school,Never-married,Transport-moving,Not-in-family,White,Male,0,1974,91,Germany,<=50K
33,State-gov,302731,HS-grad,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,72,Puerto-Rico,<=50K
23,Local-gov,155397,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,0,0,26,United-States,<=50K.
35,Private,187416,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,<=50K
28,Private,131749,HS-grad,Never-married,Sales,Not-in-family,White,Male,0,0,31,United-States,<=50K
36,Self-emp-not-inc,348852,9th,Married-civ-spouse,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
