price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
357757.7,3,2.0,2482,6836,3.0,0,0,3,8,3562,938,2010,0,98127,47.6596,-122.337,2034,6337
380257.8,3,2.25,2941,6201,2.0,0,0,3,7,1484,0,2012,0,98125,47.5834,-122.27,1943,4691
468644.3,3,2.5,2691,5610,2.0,0,0,3,8,3103,0,2012,0,98052,47.7002,-122.12,2207,5535
312412.0,4,1.0,1377,8185,1.0,0,0,4,6,1622,0,1962,0,98180,47.3767,-122.289,1910,5921
334640.9,3,3.25,2346,59532,1.0,0,0,3,9,2327,0,1996,0,98079,47.7157,-121.735,1778,43064
532875.4,3,1.5,1856,15452,1.0,0,0,3,7,1242,524,1979,0,98115,47.767,-122.359,1516,5624
616231.2,3,2.5,1007,1628,3.0,0,0,3,7,1533,549,2005,0,98119,47.5708,-122.299,1618,1623
721874.9,6,1.0,1596,7022,1.0,0,3,4,6,1473,0,1914,0,98006,47.6501,-122.346,2218,8045
487942.5,5,2.0,1360,4901,2.0,0,0,3,7,1979,0,1994,0,98080,47.7491,-121.992,2436,10032
365051.7,3,1.5,1540,1413,2.0,0,0,3,9,2666,0,2006,0,98040,47.405,-122.164,1954,1664
447033.3,3,1.0,1656,5061,1.0,0,0,3,7,1641,0,1961,0,98121,47.5996,-122.335,1953,9796
829684.4,3,2.25,2827,10008,1.0,0,0,3,7,1549,795,1978,0,98040,47.6169,-121.956,2948,15564
380534.4,3,1.0,1416,4926,1.0,0,0,5,7,1242,0,1952,0,98176,47.5061,-122.286,2308,7143
411666.6,2,2.0,2224,5266,1.5,0,0,3,7,1506,751,1968,0,98122,47.5391,-122.27,2549,7224
446458.0,2,1.0,1445,4761,1.0,0,0,3,7,1571,305,1919,0,98127,47.3161,-122.348,1754,7667
343183.7,2,1.0,1609,5458,1.0,0,0,3,6,1786,0,1951,0,98187,47.4844,-122.341,1958,11070
1052448.0,5,2.75,2586,221434,1.0,0,1,4,8,1470,949,1953,0,98001,47.5509,-122.364,2361,8679
759946.3,3,1.75,1409,4403,1.5,0,0,4,7,1890,0,1997,0,98061,47.7178,-122.093,1632,4585
520275.6,5,3.0,2434,5040,1.0,0,0,4,8,1633,1079,2009,0,98118,47.6903,-122.356,1495,5925
387373.5,3,1.75,1666,6369,1.0,0,0,3,7,2149,0,1970,0,98028,47.5026,-121.817,2010,8069
843338.6,5,2.5,2455,19698,2.0,0,0,3,10,3083,1399,2012,0,98129,47.6102,-122.329,3633,7298
889641.3,3,2.5,3454,6280,2.0,0,0,3,8,2640,0,1989,0,98041,47.5018,-121.997,2550,7511
323877.2,3,3.0,1663,8646,1.0,0,0,3,7,1089,0,2013,0,98034,47.4881,-122.282,1399,5633
386381.3,3,1.5,1645,3559,2.0,0,0,3,7,1964,0,1928,0,98120,47.7068,-122.348,1773,1766
400953.9,2,2.75,2063,8972,1.0,0,0,3,7,2408,0,1960,0,98069,47.5128,-122.179,1743,15677
388755.8,3,1.5,1533,7483,1.0,0,0,4,6,1571,0,1947,0,98168,47.3203,-122.371,1687,9553
2192357.0,3,2.75,3934,9668,1.0,0,0,4,4,2146,0,1968,0,98125,47.6565,-122.151,4594,10883
269498.5,3,2.5,3707,362301,2.0,0,0,3,9,3784,0,2011,0,98076,47.5359,-121.967,3020,176300
352754.4,4,2.0,2474,5465,1.0,0,0,3,7,2703,0,1990,0,98036,47.3912,-122.178,1697,5905
321116.4,2,4.75,2861,5572,1.0,0,0,3,7,1157,433,1969,0,98119,47.4081,-122.17,1620,1376
2770870.4,4,3.5,6122,248826,1.5,0,3,4,9,3894,1269,1909,153,98008,47.6574,-122.341,4411,19600
865960.8,3,3.5,2745,7284,1.0,0,0,4,9,3000,0,1993,0,98010,47.6,-121.979,3826,20983
224426.9,3,2.25,3281,47959,1.5,0,0,3,8,1882,0,1997,0,98061,47.7022,-122.025,1553,36858
365627.3,3,2.25,2543,13841,2.0,0,0,4,7,1214,973,1981,0,98159,47.4085,-122.276,1633,17728
329605.1,2,1.0,1316,10006,1.0,0,0,3,6,1452,0,1949,0,98029,47.4779,-122.349,1890,6621
444770.7,4,3.0,3607,6177,1.0,0,0,3,7,2888,0,1971,0,98180,47.5358,-122.16,3233,8409
565386.5,3,1.75,2759,45860,1.0,0,0,3,8,1695,0,1980,0,98006,47.7578,-122.105,2691,52222
524080.3,3,3.0,1415,42444,1.0,0,0,4,7,1501,418,1981,0,98147,47.749,-122.369,1701,9928
563133.2,3,2.25,2827,11064,1.0,0,0,3,8,1245,885,1981,0,98032,47.7671,-122.108,2732,41498
466367.4,3,2.0,2373,22254,1.0,0,0,4,7,1264,0,1976,0,98081,47.6028,-121.789,1861,48641
457396.4,4,1.0,2747,15696,1.0,0,0,4,8,1543,1313,1974,0,98007,47.4034,-122.155,1820,16690
1578273.5,4,1.0,3939,4546,1.5,1,3,5,6,6499,1188,1948,85,98149,47.5973,-122.344,2558,11395
