price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
476009.7,3,1.0,1414,5820,1.0,0,0,3,6,1540,0,1933,0,98068,47.5575,-122.367,1567,5283
536907.7,3,2.5,1229,57199,1.0,0,0,3,9,1585,0,1982,0,98055,47.5306,-122.012,3033,44562
456564.8,4,1.0,4409,15274,1.0,0,0,3,7,3499,0,1972,0,98011,47.508,-122.175,2208,8289
906408.3,3,2.0,3070,6714,1.0,0,2,4,7,1165,0,1956,0,98008,47.5969,-122.286,1916,9387
619152.6,3,2.25,2958,9286,1.0,0,0,3,8,2135,802,1959,0,98010,47.4313,-122.14,2568,11045
2937557.2,4,3.25,2716,23297,1.0,0,2,5,9,3318,1301,1949,98,98198,47.6354,-122.295,3166,6656
1108448.4,5,2.75,3503,14103,1.0,0,3,4,10,3083,942,1974,0,98031,47.6256,-122.297,2445,18480
573051.0,3,2.25,3739,46194,2.0,0,0,3,8,1654,558,1993,0,98038,47.402,-121.965,2859,46290
473947.9,3,1.0,1509,4654,1.5,0,0,3,6,3354,0,1972,0,98075,47.6023,-122.192,2305,17460
829350.4,4,2.5,2108,10221,2.0,0,0,3,8,2123,0,2012,0,98053,47.5602,-122.36,2496,6044
767322.8,2,2.5,1620,61774,2.0,0,0,3,9,3438,0,2011,0,98070,47.7085,-122.091,1961,7744
860937.9,3,4.0,1921,5889,1.5,0,0,4,9,1713,1270,1916,0,98119,47.6225,-122.29,1944,6532
494122.1,3,1.0,1096,4584,1.0,0,0,4,7,1329,875,1970,0,98006,47.6912,-122.103,1705,4782
322758.2,4,1.75,2662,9314,1.0,0,0,4,6,3226,828,1964,0,98006,47.3953,-122.185,2640,8821
356694.0,2,1.75,3070,6006,2.0,0,0,4,7,2720,0,1990,0,98071,47.7007,-121.997,2966,50189
311429.6,3,2.0,1683,18078,1.0,1,0,3,7,2607,0,1967,0,98038,47.5165,-121.978,1887,12429
337717.0,3,1.75,1932,9216,1.5,0,0,4,8,1707,529,1971,0,98154,47.3946,-122.269,1705,7081
393892.5,4,2.5,3347,7553,2.0,0,0,3,7,3505,0,1966,0,98010,47.4088,-122.167,2888,18676
909424.7,4,2.5,3165,10519,2.0,0,0,3,11,3315,714,2012,0,98006,47.5677,-122.072,3343,9986
670445.9,4,3.5,2563,8741,2.0,0,0,3,8,2720,1283,1928,0,98120,47.5576,-122.31,2733,5926
348171.0,6,2.25,2956,4326,2.0,0,0,3,7,3796,0,2005,0,98046,47.422,-122.284,1898,6652
969945.1,4,2.5,3632,9714,1.0,0,0,4,8,3056,864,1973,0,98158,47.6159,-122.329,4220,8619
350242.4,4,2.5,2565,6381,2.0,0,0,3,7,1399,0,2004,0,98074,47.4,-121.781,2864,5577
265484.9,2,1.0,1800,5003,1.0,0,0,4,6,1663,0,1960,0,98185,47.6304,-122.335,3214,15120
543183.0,2,2.0,3627,3849,1.0,0,0,5,7,1597,844,1929,0,98131,47.7256,-122.34,1966,5303
349557.3,4,1.0,4455,5454,1.5,0,0,3,7,1322,0,1982,0,98071,47.5421,-122.068,2091,6665
1946044.5,4,3.5,3640,142321,2.0,0,4,4,9,3777,1379,1969,0,98068,47.5986,-122.297,3349,25879
558967.6,3,2.25,2007,9537,2.0,0,0,3,8,2772,0,2006,0,98142,47.7515,-122.266,1978,6908
610491.8,7,2.25,1989,3494,2.0,0,0,3,8,2621,0,1929,0,98066,47.5775,-121.86,1451,6787
964594.9,4,4.5,3250,25313,1.5,0,0,3,11,2841,0,1960,0,98006,47.5313,-122.188,2123,14146
560641.6,3,1.75,3300,38796,1.0,0,0,3,8,1671,945,1978,0,98007,47.7026,-122.282,1685,7964
550871.3,2,1.0,1531,5108,1.0,0,0,3,7,1279,0,1952,0,98116,47.7126,-122.35,1896,8172
423297.6,3,1.0,2608,4605,1.0,0,0,3,6,3035,0,1965,0,98035,47.3135,-122.176,2586,14854
642916.1,4,2.25,2438,28673,2.0,0,0,3,8,1707,416,1991,0,98069,47.7005,-122.094,3102,46245
343457.3,3,1.0,1525,11285,1.0,0,0,4,7,1368,877,1979,0,98126,47.6162,-122.072,2541,11701
566892.5,4,2.5,1318,5691,2.0,0,0,3,7,3125,0,2008,0,98038,47.5456,-122.262,1751,6643
