price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
864457.3,5,2.75,2254,9891,1.0,0,1,4,9,2781,1736,1955,0,98118,47.6359,-122.351,1833,10945
824308.2,4,2.5,2793,17573,2.0,0,4,3,9,3965,0,1994,0,98078,47.6019,-121.985,4447,47380
842031.1,3,1.0,1275,23238,1.0,0,3,3,8,1225,883,1961,0,98151,47.7109,-122.26,2021,8026
3249573.2,4,4.25,3686,48428,1.0,1,4,4,10,3261,1236,1965,0,98180,47.5762,-122.322,3868,22031
1241775.0,3,3.25,3336,4979,1.0,0,4,3,9,1843,1621,1913,0,98123,47.5953,-122.271,2138,7438
1218780.9,4,2.25,3253,9873,1.0,0,4,5,7,1933,930,1958,0,98163,47.3881,-122.266,4092,10752
908270.2,5,2.25,1525,31758,1.0,0,0,3,8,1391,0,1972,0,98117,47.7148,-122.364,2495,3112
297691.0,2,1.5,1154,1293,2.0,0,0,3,6,1605,0,2008,0,98031,47.3313,-122.192,1597,275811
544061.5,3,1.75,2595,13306,1.0,0,0,3,7,1279,0,1951,0,98174,47.7486,-122.357,1761,8293
529481.5,5,2.5,3740,36635,2.0,0,0,3,11,3076,0,2009,0,98075,47.6573,-121.991,3428,6905
620891.5,3,6.5,2049,4842,2.0,0,0,4,9,3219,893,1933,0,98122,47.7074,-122.358,1928,7389
825240.8,4,1.75,3354,19355,1.0,0,0,3,8,1921,734,1930,0,98185,47.711,-122.329,1926,15166
893060.7,2,1.0,2476,20576,1.0,0,4,4,8,1605,964,1963,0,98152,47.621,-122.325,3152,23075
1710664.1,3,1.5,4581,10043,1.5,0,4,3,7,4969,0,1997,204,98172,47.4014,-122.266,3078,11158
506456.7,3,1.75,3030,39642,1.0,0,0,3,8,1513,508,1991,0,98030,47.7514,-122.02,2415,11867
591586.8,4,2.5,2305,5099,2.0,0,0,3,8,2934,0,2009,0,98078,47.5309,-121.992,1840,5908
344726.4,3,1.75,2317,10918,1.0,0,0,3,7,2056,0,1956,0,98140,47.6543,-122.27,2192,11005
1473489.3,3,3.25,3962,18368,1.5,1,4,3,11,2975,0,1970,0,98072,47.5923,-122.331,3427,19815
529558.8,3,2.5,1742,5458,2.0,0,0,4,7,908,0,1991,0,98114,47.7361,-122.184,1482,5370
725695.9,3,2.5,5257,38236,1.0,0,0,3,9,3121,434,1991,0,98198,47.7117,-122.074,3921,19829
804641.9,4,2.75,3884,1310,2.0,0,1,3,9,2770,932,2012,0,98077,47.7173,-122.317,1851,7544
570765.2,3,2.5,3338,19221,1.0,1,3,3,8,1332,1223,1961,0,98182,47.6541,-122.344,3316,17200
1621269.5,4,2.75,3985,8166,1.0,0,4,3,10,1212,1699,1991,0,98009,47.6862,-122.069,2939,11830
625111.4,2,1.0,1674,6520,3.0,0,0,4,6,1467,0,1922,0,98137,47.609,-122.181,2237,5595
2363157.8,4,2.75,5871,18767,2.0,0,4,3,10,3994,1946,2012,0,98007,47.5719,-122.062,4782,13301
1500351.4,4,2.5,2846,9778,2.0,0,3,3,9,2884,802,2008,0,98162,47.594,-122.269,1761,5082
774668.7,3,2.75,3822,11140,1.0,0,0,3,8,1741,1253,1970,0,98009,47.6025,-122.096,3117,18231
1154244.0,5,2.75,4660,9242,1.0,0,0,5,7,1835,1587,1979,0,98009,47.7025,-122.148,2868,24248
398341.3,3,1.5,1362,17430,1.5,0,0,4,7,1570,0,1971,0,98036,47.3612,-122.193,1512,4998
2242996.4,3,2.75,4441,14689,2.0,0,4,4,9,3310,1540,1993,0,98111,47.5632,-122.359,4138,15462
799785.9,4,3.5,4146,20860,2.0,0,0,3,10,3509,1397,1971,0,98073,47.5572,-122.104,4236,13099
1302717.0,4,3.0,3193,8538,1.0,0,4,2,9,2692,432,1978,0,98176,47.5233,-122.32,3297,11936
322903.1,3,2.5,2006,4203,2.0,0,0,3,8,2238,453,2008,0,98120,47.7116,-122.362,1907,6418
842377.9,5,1.75,2707,10255,1.0,0,1,5,7,2026,378,1959,0,98135,47.7188,-122.257,2287,2187
345540.7,4,1.0,3666,9882,1.0,0,2,4,7,1603,759,1967,0,98035,47.3914,-121.8,2399,51902
305465.0,4,2.5,2644,4730,1.0,0,0,4,8,2945,468,1967,0,98068,47.5819,-122.084,1864,6831
1485600.4,4,4.25,5003,16926,1.0,0,1,5,11,1918,1330,1980,0,98034,47.606,-122.046,2905,11173
2360868.4,3,4.25,8686,9740,1.0,0,2,5,10,2085,2164,1970,0,98009,47.6026,-122.068,3103,24535
2024910.1,2,2.5,2997,3967,3.0,1,4,4,8,1519,0,1926,0,98123,47.5992,-122.33,2862,19111
1047531.5,5,3.0,2759,8699,1.0,0,3,5,8,1496,1894,1911,0,98116,47.6959,-122.34,2343,8865
361359.7,4,2.5,3238,10272,1.0,0,2,4,7,2164,1549,1959,0,98041,47.3983,-122.26,2569,11541
471037.4,3,1.75,2253,34138,1.0,0,2,4,8,1282,0,1966,0,98068,47.754,-122.103,2409,11564
2324864.0,4,2.5,5120,12720,2.0,1,4,3,10,3563,1576,2006,0,98151,47.582,-122.321,4120,7994
565346.5,4,2.0,2439,8817,1.0,0,0,5,7,1509,0,1999,0,98029,47.7658,-122.287,2439,271534
361463.4,4,1.75,2515,9725,2.0,0,2,3,7,2166,886,1958,0,98037,47.3747,-122.153,2283,9710
557070.4,4,1.0,1559,10410,1.5,0,0,5,6,1645,0,1957,0,98119,47.2925,-122.305,1364,8013
364579.3,4,1.75,2803,9076,1.0,0,0,3,8,1276,1653,1978,0,98060,47.3788,-122.012,3465,10458
343092.1,3,1.5,2334,10632,1.0,0,1,4,7,1921,0,1959,0,98133,47.6778,-122.262,1802,11735
843719.3,3,2.5,2123,228701,2.0,0,0,3,8,2544,463,1998,0,98067,47.6976,-122.094,3905,12197
602693.3,4,2.5,4030,39142,1.0,1,4,4,8,3347,340,1990,0,98075,47.7499,-122.335,2855,58193
885780.4,3,2.5,2365,6861,2.0,0,0,3,8,2958,0,2008,0,98065,47.723,-121.804,1701,7697
1754876.6,4,4.0,6324,18394,1.0,0,4,3,10,3252,1512,1971,0,98040,47.5317,-121.968,4525,12071
691114.2,5,2.25,3410,5554,2.0,0,0,4,8,2735,0,2014,0,98006,47.6976,-122.093,3959,7669
328696.6,3,2.0,2646,18662,1.0,0,3,4,7,1756,988,1971,0,98033,47.5199,-122.265,1989,9140
1755838.6,5,3.5,4997,18719,2.0,0,2,3,11,2718,1298,2006,0,98039,47.7162,-122.153,3299,8428
562427.3,2,1.0,1333,14222,1.5,0,0,4,6,1214,0,1958,0,98109,47.6748,-122.296,1530,7123
381387.0,4,3.0,3169,8545,1.0,0,0,5,7,1484,842,1965,0,98009,47.5871,-122.164,2263,10822
292057.7,3,2.0,1585,4571,1.5,0,0,3,6,1471,0,1957,0,98113,47.3957,-122.28,1989,1578
1490482.7,3,2.75,5182,8734,1.0,0,2,3,10,3571,1344,1951,0,98108,47.6393,-122.255,3713,18310
567882.8,4,3.5,2924,5257,2.0,0,0,3,7,2639,247,2002,0,98041,47.5857,-121.747,1593,7287
848323.4,2,2.5,2933,5576,2.0,0,0,3,9,2213,0,1933,0,98065,47.5793,-122.009,2240,4855
1782946.8,4,3.25,4594,11563,1.0,0,0,3,11,3308,0,1984,0,98010,47.6475,-122.092,4099,21038
394540.7,3,2.25,1484,16536,1.0,0,0,4,7,1583,1001,1994,0,98035,47.3995,-122.271,1736,7232
1507959.6,4,3.5,3577,8804,2.0,0,4,5,9,2598,1412,2013,0,98117,47.5827,-122.288,3492,5832
321990.3,4,1.0,1637,25479,2.0,0,0,4,7,2760,0,1975,0,98043,47.4061,-122.025,1434,7532
1163847.4,3,1.75,2238,10390,1.5,0,3,5,7,1839,0,1959,159,98132,47.6921,-122.274,1967,7779
770813.2,5,2.5,3277,6414,2.0,0,0,3,9,3418,1547,2014,0,98066,47.6098,-122.025,3179,5204
374208.2,2,1.0,2495,9478,1.0,0,2,3,6,2132,464,1960,0,98134,47.5805,-122.274,2084,6576
2131882.2,5,2.75,5969,19116,1.0,0,3,3,10,2946,1799,2012,0,98003,47.638,-122.167,3554,12942
848195.1,3,2.75,2358,21304,1.0,0,2,4,9,1213,1187,1920,0,98114,47.6964,-122.344,2090,5419
3597743.4,5,3.5,6984,13589,2.0,1,4,3,11,4702,2068,2005,0,98055,47.5596,-122.134,4921,18269
354081.5,3,2.25,2122,6424,1.0,0,0,4,7,3390,0,1920,0,98011,47.5861,-122.161,1802,6461
722654.6,4,3.5,3277,10825,2.0,0,3,3,9,3721,735,2011,0,98041,47.6725,-122.175,2401,6685
369289.4,3,4.0,2831,18078,1.0,0,0,4,7,2962,1775,1981,0,98058,47.4903,-122.159,3185,12041
2099015.4,4,3.5,5503,10337,1.0,1,3,3,12,4651,1187,1980,0,98183,47.6067,-122.339,3369,21088
810322.8,3,1.75,4299,12641,1.0,0,2,4,8,3227,2053,1972,0,98007,47.5856,-122.088,3461,23629
605137.5,3,3.0,3272,9810,1.0,0,1,5,7,2072,837,1931,0,98130,47.7229,-122.26,2356,7667
1788314.6,4,3.75,7642,14252,1.0,1,2,4,10,1704,1694,1939,0,98179,47.6526,-122.127,4353,31079
1796022.4,5,3.5,4471,5147,2.0,0,3,3,10,4571,1075,2006,0,98080,47.6277,-122.346,3279,15710
311430.3,4,1.75,2176,7807,1.0,0,0,4,7,888,1045,1957,0,98056,47.3801,-122.102,2261,10049
1565766.2,3,2.75,3725,10556,1.0,0,4,3,8,4101,1224,1963,0,98125,47.5999,-122.257,3178,11449
1305420.1,4,1.75,5634,17165,1.0,0,4,3,9,1253,1666,1971,0,98065,47.5744,-122.273,3997,16994
880371.4,4,3.5,3679,9225,2.0,0,3,3,11,3672,663,2010,0,98070,47.5801,-122.092,2759,6336
605207.2,4,2.5,3257,14574,1.0,0,3,4,8,2531,445,1989,0,98079,47.7605,-121.997,2961,19364
309682.9,3,1.5,2249,6545,1.0,0,0,4,6,1322,0,1957,0,98033,47.5978,-122.277,2237,7887
2646599.4,2,2.5,4050,47175,2.0,1,4,3,9,2958,0,1990,0,98160,47.5922,-122.351,3081,22213
2060879.4,3,2.75,4899,18733,1.0,1,4,3,10,3569,1599,1953,0,98160,47.7545,-122.261,3604,22795
818133.0,4,3.0,3210,9661,1.0,0,4,3,9,1501,0,1956,0,98151,47.7036,-122.263,3122,9755
2289343.2,4,4.5,4661,13105,1.0,1,4,2,9,3919,1347,1968,0,98177,47.5688,-122.335,3623,21258
408339.2,3,1.75,2963,12093,1.0,0,0,3,8,2296,1105,1961,0,98030,47.765,-122.027,1935,40295
328208.9,3,1.5,2618,5354,2.0,0,0,3,7,1982,137,2010,0,98132,47.5978,-122.177,2094,1881
783187.6,4,2.75,2066,1310,2.0,0,3,3,8,2506,1105,2006,0,98114,47.7018,-122.274,2033,6162
557288.9,2,1.5,1373,8401,1.5,0,0,4,7,1353,0,1950,0,98146,47.354,-122.277,1725,6538
797355.6,6,3.5,4108,16771,2.0,0,2,3,9,3353,0,1996,0,98158,47.6673,-122.174,2966,6907
4070982.0,6,4.0,5170,16300,1.5,1,4,4,10,3218,1314,1952,71,98177,47.5933,-122.047,3979,21101
1126966.0,3,1.75,4580,8044,1.0,1,4,4,8,1322,1049,1989,0,98037,47.5098,-122.129,2213,54841
825677.7,3,2.5,1917,23831,1.0,0,1,5,9,1443,783,1917,0,98120,47.652,-122.347,2921,14475
482602.8,3,2.5,3007,50453,2.0,0,0,4,8,2114,0,1983,0,98024,47.4382,-122.121,2109,158316
573301.0,2,1.0,1432,17221,1.0,0,0,3,8,1438,523,1963,0,98143,47.576,-122.327,1763,7953
4722525.5,4,4.5,5489,48493,2.0,1,4,3,11,3669,1719,2012,0,98066,47.5052,-122.167,3644,38120
886068.7,4,2.5,2050,6273,2.0,0,0,4,9,1439,0,1922,0,98120,47.7159,-122.362,2070,4841
1901774.5,4,1.75,4116,11686,1.0,0,3,5,10,3677,1823,1978,0,98074,47.6273,-122.102,2820,21612
3217330.5,4,3.75,3212,21944,1.5,1,4,3,12,2020,674,1957,50,98179,47.6485,-122.346,3339,158696
3020036.0,5,3.5,5154,8446,2.0,1,4,3,11,3378,0,2012,0,98065,47.3912,-122.166,3902,10828
1219266.0,7,3.75,4121,18877,2.0,1,4,3,9,3005,0,1929,0,98178,47.6163,-122.271,3564,11136
591126.1,2,1.0,1813,16123,1.0,0,1,4,7,1499,498,1966,0,98147,47.6184,-122.319,1963,11534
580277.1,3,2.5,2329,6257,1.0,0,0,4,8,2364,0,1995,0,98116,47.7271,-122.352,1854,6313
2533498.9,6,2.75,2608,20596,1.0,0,4,5,10,4035,1676,1981,0,98009,47.5858,-122.096,4526,12689
1719749.7,4,2.5,3090,21748,2.0,0,0,3,9,3316,0,1992,0,98073,47.6518,-122.065,4426,14039
349975.2,3,1.5,2525,7895,1.0,0,0,3,7,2121,0,1979,0,98038,47.3524,-122.17,2030,7722
863139.2,3,2.0,3607,19838,1.0,0,0,4,9,2453,1499,1991,0,98059,47.701,-122.095,3493,6405
334115.0,3,2.5,2844,4900,2.0,0,0,3,8,2538,0,2013,0,98127,47.648,-122.267,2252,6633
2030734.2,5,2.75,5440,15288,1.0,1,1,5,10,2726,1791,1953,0,98179,47.7663,-122.254,3090,25034
2893371.6,3,4.0,4954,13074,1.0,1,4,3,12,3647,1500,1978,0,98069,47.5551,-122.333,4005,11585
336639.8,3,2.5,2847,5236,2.0,0,0,3,8,3002,0,2010,0,98072,47.5391,-121.999,2988,7806
403958.2,4,1.5,2019,5126,1.0,0,0,3,7,2707,0,2011,0,98079,47.3876,-122.019,1617,10221
769700.3,5,2.75,2178,5434,2.0,0,1,3,9,2486,1135,1917,0,98120,47.5879,-122.273,2014,4628
1271808.5,2,1.75,2372,6658,1.0,0,3,3,8,1340,516,1917,0,98118,47.7045,-122.345,2096,6777
346888.4,3,1.0,1334,2152,1.5,0,0,3,7,1864,291,2013,0,98168,47.3646,-122.279,1652,6537
802672.2,5,2.5,1841,4885,2.0,0,3,4,9,3046,942,1916,0,98124,47.7029,-122.365,1569,5518
1154431.4,4,3.5,3266,7174,2.0,0,0,3,9,3248,842,2012,0,98068,47.6555,-122.184,2939,6386
929164.5,3,3.25,2661,6425,1.5,0,4,4,9,1369,855,1960,0,98119,47.5903,-122.349,3356,6056
442035.1,2,1.0,2717,5699,1.0,0,0,5,7,3564,0,1961,0,98152,47.5844,-122.158,2250,6544
1240856.9,3,3.25,2159,21243,1.5,0,3,4,8,3250,0,1933,0,98075,47.5835,-122.071,2744,18447
362588.9,1,1.5,1604,10726,1.0,0,0,3,7,1206,0,2010,0,98043,47.3729,-122.415,2200,7815
380545.3,4,1.0,1294,9501,1.0,0,0,3,7,1373,471,1952,0,98041,47.3245,-122.294,1521,6173
832202.5,2,2.5,3886,6908,1.0,0,4,3,9,1133,334,1917,0,98114,47.7138,-122.255,1981,15001
576118.7,4,3.5,3936,10517,2.0,0,3,3,11,4104,845,1918,0,98065,47.4076,-121.803,2897,8520
2082771.8,4,4.0,5965,8601,1.0,0,4,3,10,2952,1907,1953,0,98142,47.593,-122.31,4106,21438
1384840.1,4,4.25,2988,8882,1.0,0,0,5,10,3078,1379,1965,0,98009,47.6397,-122.05,2647,25799
2624972.2,6,3.25,4906,16894,2.0,0,4,4,10,3168,1817,1971,0,98006,47.5608,-122.103,4079,16031
2831271.1,6,2.5,2408,16704,2.0,1,4,3,8,2593,0,1959,19,98178,47.765,-122.334,3782,19254
1676019.2,4,4.25,4317,17714,2.0,0,3,3,10,3286,1036,2010,0,98154,47.5776,-122.072,4184,11863
1954470.4,5,3.5,4385,10571,2.0,0,1,3,10,3488,1715,1955,0,98006,47.6392,-122.334,3679,10356
547664.0,3,2.0,3022,9703,1.0,0,0,4,8,2740,1523,1977,0,98071,47.5587,-122.121,2764,7226
395661.3,4,1.0,3193,9400,1.5,0,0,3,7,2861,0,1968,0,98038,47.3805,-121.99,1904,9508
571267.8,4,1.0,1232,4044,1.5,0,0,3,7,1352,0,1928,0,98142,47.5789,-122.287,1611,6120
368329.4,3,1.0,2100,6875,1.0,0,0,4,6,1883,0,1960,0,98137,47.5861,-122.157,2417,5745
590280.9,4,1.75,3023,36743,1.0,0,0,4,7,1225,0,1979,0,98026,47.4642,-122.204,1857,6293
4300398.6,5,4.0,11697,13057,1.0,1,4,3,11,7588,2169,1979,0,98009,47.5693,-122.135,5675,25086
875105.2,3,2.75,3017,13602,1.0,0,1,4,8,1760,1505,1967,0,98007,47.5624,-122.074,3010,27604
1906700.1,6,4.5,5873,7372,2.0,0,4,3,10,3028,1946,2009,0,98196,47.5858,-122.318,4539,165849
325041.6,2,1.75,1726,16206,1.0,0,0,5,7,1430,0,1953,0,98122,47.5595,-122.191,1927,8420
759975.7,2,1.0,1387,4349,1.5,0,0,4,7,1443,545,1929,0,98114,47.7073,-122.275,1534,6963
536717.5,3,2.0,3804,154735,1.0,0,0,4,8,1395,0,1967,0,98032,47.3317,-122.003,2792,194059
1237891.8,3,3.75,4596,18110,1.0,1,4,2,10,1715,1525,1980,0,98177,47.6071,-122.254,3664,11593
2642803.8,4,4.5,4583,12314,2.0,0,4,3,10,2243,1789,2011,0,98004,47.5359,-122.34,4063,16946
372458.2,3,2.5,2902,16839,1.0,0,0,3,7,1910,0,1991,0,98036,47.5015,-121.86,2449,11310
329879.1,3,1.0,1351,1647,1.0,0,0,3,6,1808,0,2012,0,98038,47.3565,-122.425,1768,12992
564579.3,2,1.75,3039,20132,1.0,0,2,4,8,2626,468,1962,0,98121,47.5464,-122.269,3914,11680
582816.1,3,2.5,1602,8600,2.0,0,0,3,9,2550,0,1988,0,98034,47.3717,-121.832,2186,131210
470206.3,3,2.5,3236,16958,2.0,0,0,3,11,3608,0,2000,0,98008,47.7659,-121.974,3074,139222
522743.2,3,2.25,2769,6952,1.0,0,0,4,8,1601,1412,1977,0,98144,47.715,-122.349,3143,12675
876788.1,6,2.5,2995,6031,2.0,0,0,3,9,3041,0,2012,0,98150,47.723,-121.782,2156,1902
394518.8,4,2.25,2702,9642,1.0,0,2,4,7,2770,1071,1972,0,98032,47.4063,-122.161,2858,50566
