price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
284168.9,3,1.0,2582,7808,1.0,0,0,3,6,1417,0,1957,0,98005,47.3611,-122.188,1593,8346
504813.7,3,1.75,1506,11412,1.0,0,0,5,7,1530,531,1953,0,98115,47.6977,-122.359,1806,5251
564917.4,3,2.0,1522,6647,1.0,0,0,3,7,1624,0,1930,0,98112,47.7031,-122.295,1603,8049
523700.4,4,2.25,3222,10105,2.0,0,0,3,8,3213,978,1980,0,98041,47.6538,-122.076,2018,8342
438266.9,4,2.5,2469,13241,2.0,0,0,3,8,3549,0,2011,0,98159,47.5219,-122.195,1707,7127
458399.3,3,2.5,3098,1837,2.0,0,0,3,8,1530,0,2010,0,98032,47.7638,-122.105,2367,5521
557890.0,3,1.0,1681,39799,1.0,0,0,4,7,1561,0,1954,0,98009,47.3603,-122.431,1965,8132
516581.9,3,2.5,1710,7865,2.0,0,0,3,8,2724,0,2013,0,98068,47.5201,-122.167,2497,6949
355948.2,4,2.5,2906,5303,2.0,0,0,3,7,3025,0,2015,0,98040,47.3895,-122.276,1771,9119
590164.6,3,2.5,1727,39078,2.0,0,0,3,8,2957,0,2010,0,98057,47.7194,-122.058,1746,4962
535682.0,4,2.5,3113,50102,2.0,0,0,3,8,3076,916,2005,0,98041,47.7554,-121.841,3992,8428
530821.2,2,1.0,1292,9022,1.5,0,0,3,7,1467,0,1921,0,98123,47.6031,-122.252,1884,9894
489652.1,3,1.75,1258,4365,1.0,0,0,3,7,2116,0,1922,0,98107,47.6845,-122.366,1440,6387
325578.0,4,2.0,2201,5261,2.0,0,0,3,7,2723,0,1992,0,98161,47.3658,-121.782,2169,5772
286879.2,3,1.0,2144,5173,1.5,0,0,3,7,1742,0,1974,0,98155,47.3905,-122.258,1727,6052
611484.2,4,2.0,1758,5851,1.0,0,0,4,7,1664,0,1968,0,98179,47.7435,-122.361,2078,8995
500885.4,3,2.0,1196,5452,3.0,0,0,5,7,1159,449,2011,0,98113,47.5483,-122.356,1568,6339
321213.0,3,1.0,3587,14526,1.0,0,0,3,6,1665,0,1962,0,98175,47.5178,-122.15,1936,9570
840138.4,3,2.5,2564,4718,2.0,0,0,3,9,2530,0,2010,0,98115,47.638,-122.117,2500,8352
882678.9,4,2.5,2219,250223,2.0,0,0,3,11,3443,0,2000,0,98083,47.7312,-122.058,1912,10833
887014.0,3,2.25,2835,8816,2.5,0,0,3,8,1734,506,1970,0,98117,47.7481,-122.357,1644,7379
399847.6,3,1.5,2384,17869,1.0,0,0,4,7,1501,837,1970,0,98159,47.5218,-122.278,3244,12334
371776.3,3,1.5,1375,4914,1.5,0,0,3,7,2209,0,2008,0,98149,47.5515,-122.317,1898,8286
333600.6,3,2.25,3152,8191,2.0,0,0,3,7,2942,0,1949,0,98009,47.3919,-122.099,2667,11368
404904.0,3,1.0,2046,9621,1.0,0,0,3,6,2601,0,1971,0,98179,47.3559,-122.265,1982,12238
492827.0,7,2.5,2543,1146,2.0,0,0,3,8,3283,0,2010,0,98034,47.5928,-122.033,2173,1729
404299.0,4,1.0,2911,10832,1.0,0,0,4,6,1807,0,1972,0,98169,47.3325,-122.176,1663,11173
732084.8,5,3.0,2482,9864,2.0,0,0,3,9,3231,0,1992,0,98011,47.5834,-122.169,3191,10884
445990.0,4,1.75,2277,12555,1.0,0,0,3,7,1294,928,1980,0,98149,47.6768,-121.826,1425,5572
376434.3,4,1.0,2301,8572,1.5,0,0,4,7,2325,837,1929,0,98175,47.5873,-122.277,2519,8202
909681.4,3,1.0,2737,5003,2.0,0,0,3,9,3408,0,1994,0,98038,47.6001,-122.151,2044,5796
706036.8,3,2.25,2343,9274,1.0,0,0,4,8,1402,646,1982,0,98038,47.7284,-122.313,2019,11911
496234.0,3,2.0,1543,4189,1.0,0,0,5,7,1320,1464,1914,0,98120,47.701,-121.98,1354,5529
838321.6,3,2.5,2772,5276,2.0,0,0,3,9,2835,0,1934,0,98152,47.7252,-122.133,2407,6171
471758.7,4,2.5,2180,3422,2.0,0,0,4,7,1088,0,2012,0,98031,47.7389,-122.013,1718,6001
1150740.4,4,2.5,3131,397014,2.0,0,0,3,8,3080,0,1994,0,98082,47.5836,-121.982,3081,52882
812469.3,4,3.25,2388,8808,2.0,0,0,4,8,1515,1190,1994,0,98066,47.5971,-122.098,2625,11019
342050.5,3,1.0,1474,11285,1.0,0,0,3,6,1604,0,1956,63,98126,47.585,-122.263,2121,12308
549005.2,4,2.5,1933,5260,2.0,0,0,3,8,2459,0,1998,0,98027,47.6743,-122.002,2002,5479
342967.5,2,2.0,5198,5061,1.0,0,0,4,7,1484,280,1929,0,98125,47.7166,-122.358,1673,6069
1427018.3,3,2.25,4040,14539,1.0,0,0,4,8,4098,1108,1969,0,98040,47.6137,-122.172,2207,8026
360273.2,3,1.0,1639,5070,1.5,0,0,3,7,1929,0,1928,0,98125,47.5947,-122.34,2128,6113
1334584.8,3,2.5,1714,8835,2.0,0,1,3,9,2363,0,2013,0,98116,47.6988,-122.093,2149,7789
337276.8,3,1.75,2312,8359,1.0,0,0,4,7,1864,1037,1963,0,98177,47.5228,-122.288,1819,9984
611398.7,4,2.5,3264,146990,2.0,0,0,3,9,3974,0,2010,0,98039,47.7465,-122.019,3582,10393
571112.8,3,2.5,2300,16764,2.0,0,0,3,8,3337,0,2004,0,98057,47.7262,-121.86,1648,7675
411066.3,2,1.0,1893,1536,3.0,0,0,3,7,1731,154,2010,0,98125,47.5769,-122.35,2118,1894
523597.0,3,2.5,1634,3783,1.0,0,0,1,7,1579,876,2007,0,98114,47.6472,-122.278,1731,6786
760495.3,4,2.25,2784,8158,1.0,0,0,4,8,1417,0,1992,0,98069,47.7063,-122.107,2248,44617
408755.3,2,1.0,1686,4935,1.0,0,0,4,6,1793,0,1957,0,98128,47.525,-122.334,2140,6798
450534.2,4,2.25,2196,48470,1.0,0,2,5,8,1291,1080,1980,0,98176,47.7434,-122.099,2209,9925
923322.1,4,2.5,950,88778,2.0,0,0,4,8,2593,0,1989,0,98060,47.6556,-122.14,2930,42983
895419.5,4,2.5,2130,5050,2.0,0,0,3,9,2362,0,2007,0,98064,47.5105,-122.046,2649,151913
1517359.3,4,1.5,4554,10379,1.0,0,2,5,8,3721,1765,1962,0,98006,47.6545,-122.111,3220,8491
399470.0,3,1.0,1321,10782,1.0,0,0,3,6,1601,0,1957,0,98117,47.3149,-122.348,2125,6512
1220023.1,5,1.75,3045,15217,1.5,0,3,4,7,3076,1616,1956,0,98003,47.5576,-122.198,2015,7759
541797.3,2,1.0,809,6996,3.0,0,0,3,7,1132,0,2006,0,98100,47.646,-122.362,1266,1386
303856.5,3,1.5,2300,5886,1.0,0,0,3,7,2152,467,1998,0,98041,47.3187,-122.376,2105,9129
514076.0,3,2.5,3000,8410,2.0,0,0,3,7,3414,0,1993,0,98040,47.403,-122.15,1712,10290
531865.4,4,2.5,2459,7878,2.0,0,0,3,7,3100,0,1996,0,98039,47.3991,-121.977,1825,9308
488229.5,6,2.5,2224,57454,2.0,0,0,3,9,2675,0,2004,0,98038,47.6683,-122.026,2762,6741
403717.1,3,1.75,2126,10150,1.0,0,0,3,6,1747,0,1967,0,98008,47.5215,-122.27,2451,8470
576050.9,5,2.25,1447,54709,2.0,0,0,3,8,2681,0,1977,0,98074,47.753,-122.028,1886,52932
557362.3,3,2.5,2439,41328,2.0,0,0,3,8,1735,0,1993,0,98066,47.7562,-122.001,2995,7205
549035.3,3,2.25,3417,53424,2.0,0,0,3,8,1428,0,1990,0,98038,47.7538,-121.792,1969,8001
352213.8,5,1.75,2281,12553,1.0,0,0,4,7,1683,1070,1975,0,98041,47.3933,-122.298,2188,17608
533075.7,3,2.5,2797,1478,2.0,0,0,3,7,3171,0,2012,0,98119,47.5615,-122.352,1720,5997
1129509.1,4,3.5,4264,8555,2.0,0,0,3,9,3274,1457,1928,0,98008,47.6081,-122.288,3487,10015
351439.7,4,1.75,2244,50282,1.0,0,0,5,7,1118,1112,1980,0,98163,47.3634,-122.26,1826,6898
413485.0,2,1.0,2809,19215,1.0,0,0,4,6,1534,0,1952,0,98004,47.3834,-122.179,2881,10954
526487.2,2,2.5,1367,1714,2.0,0,0,3,8,1690,217,2006,0,98120,47.7604,-122.011,1845,1669
563214.3,3,2.5,1174,9346,2.0,0,0,3,8,2306,0,1992,0,98039,47.6782,-122.117,2631,6095
258952.6,5,2.75,3655,12132,2.0,0,0,3,9,3090,0,2010,0,98039,47.583,-122.182,2825,6819
568528.9,5,2.25,4136,20317,2.0,0,0,3,8,1944,1210,2007,0,98039,47.5879,-122.195,3447,16184
537841.4,3,2.5,1083,3543,2.0,0,0,3,8,2583,596,2007,0,98113,47.6904,-121.772,2303,5114
833746.0,3,2.5,3521,14778,2.0,0,0,3,8,3401,950,2011,0,98039,47.6519,-122.344,1851,10751
283788.6,2,1.0,1736,5643,1.0,0,0,3,6,1444,0,1974,0,98074,47.7219,-122.0,2213,273509
565818.8,3,1.75,3700,15216,1.0,0,0,4,9,3409,0,1992,66,98011,47.7674,-122.18,2947,10000
258069.9,3,2.5,2594,59044,2.0,0,0,3,8,3610,0,1993,0,98043,47.511,-121.798,2995,5952
899279.7,6,3.5,3099,259408,2.0,0,0,3,10,3721,0,1984,0,98065,47.5253,-122.134,3539,22335
249590.8,3,1.75,2602,12445,1.0,0,0,4,8,2007,1108,1982,0,98009,47.3412,-122.182,3205,10558
905737.0,4,3.0,1939,9352,2.0,0,0,3,9,2059,0,1964,5,98135,47.7109,-122.261,2438,3224
613855.4,2,2.0,1227,5877,1.0,0,0,5,7,1244,0,1932,0,98110,47.6739,-122.345,1486,5671
