price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
1502365.1,4,3.25,2912,6062,2.0,0,0,3,8,3058,178,2011,0,98065,47.7618,-122.002,2502,9657
592625.6,3,1.75,2233,21612,1.0,0,1,4,8,2362,1676,1981,0,98005,47.5988,-122.088,2961,9944
1688522.9,4,4.5,3239,9720,1.0,0,4,4,9,2978,0,1953,147,98116,47.5401,-122.372,3659,11724
775535.1,4,2.25,2830,5613,2.0,0,0,3,9,2952,0,1988,0,98073,47.7585,-121.98,3015,8903
514581.1,3,2.5,3240,48642,2.0,0,0,4,7,3215,0,1993,0,98038,47.2852,-121.967,2879,36697
749134.8,5,2.5,3981,10025,2.0,0,2,3,9,3437,0,1989,0,98060,47.5277,-121.971,4359,25994
542306.9,3,2.75,3601,5819,1.0,0,0,4,8,2014,0,1981,0,98073,47.5513,-122.01,2435,7111
522836.5,3,2.5,2356,5929,2.0,0,0,3,8,1731,210,2009,0,98150,47.5917,-121.812,1687,7032
646591.8,4,1.5,3847,5905,2.0,0,0,3,9,2615,0,1994,0,98070,47.5779,-122.36,2037,5839
353932.8,4,1.75,2953,19812,1.0,0,2,4,9,1993,1273,1979,0,98032,47.7726,-122.358,4479,11530
339073.7,3,1.75,2411,10294,1.0,0,0,4,7,2571,0,1955,0,98008,47.5511,-122.084,1633,7295
1536119.3,4,3.25,5593,19464,1.0,0,2,3,10,3010,0,1982,0,98010,47.6316,-122.186,2656,11160
725601.2,6,2.5,1768,8265,1.5,0,0,3,9,2811,0,1961,0,98044,47.7144,-122.118,2791,5818
376488.1,4,1.5,2627,9875,2.0,0,1,3,7,2071,0,1962,0,98150,47.5164,-122.299,1814,7593
829495.6,4,2.75,3505,7821,2.0,0,3,3,9,2563,0,2012,0,98011,47.7052,-122.122,3328,25899
364848.0,3,2.0,3137,8269,1.0,0,2,4,7,2232,467,1992,0,98009,47.3801,-122.158,2376,9074
880742.5,5,2.5,1949,5256,2.0,0,3,3,9,2688,1189,1979,0,98006,47.6034,-122.195,1855,10709
909970.9,5,2.75,3011,10267,1.0,0,4,4,10,2773,1376,1967,0,98006,47.7686,-122.14,3466,20877
