price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
347232.1,2,1.0,2876,17426,1.0,0,0,5,6,1209,962,1954,0,98123,47.5678,-122.293,1970,6235
1991837.5,3,3.25,4743,8975,2.0,0,0,3,8,3404,0,2008,0,98047,47.6133,-122.081,3811,10624
518891.0,3,1.75,1911,9176,1.5,0,2,4,7,1297,1143,1908,0,98120,47.5844,-122.335,2055,5509
295414.9,3,2.25,2159,9693,1.0,0,0,3,7,1592,0,1960,0,98075,47.5368,-122.165,2993,10569
512760.8,3,1.5,997,4158,2.0,0,0,3,7,1206,0,2006,0,98053,47.6842,-122.119,1705,5796
341444.1,2,1.75,1348,6936,1.0,0,0,4,7,1785,0,1957,0,98039,47.2992,-122.029,1883,8853
856252.6,5,2.0,2422,9284,1.0,0,0,4,7,3148,1054,1981,0,98008,47.7189,-122.084,2899,7716
1440084.3,4,3.0,3463,8370,2.0,0,0,3,9,3752,0,1956,0,98013,47.6341,-122.171,5029,9561
2173716.9,5,3.25,3044,13247,1.0,0,3,4,10,3345,1082,1927,0,98008,47.6415,-122.342,3071,13539
380809.6,3,1.0,1207,10804,2.0,0,0,3,7,1299,0,2011,0,98066,47.7111,-122.41,1886,6320
534554.1,4,2.25,2582,10926,1.0,0,0,4,8,3611,0,1994,0,98074,47.5429,-122.063,3225,10926
1367011.9,3,3.0,4052,5447,1.5,0,0,3,9,2639,932,1927,38,98123,47.5786,-122.277,3824,6207
362624.2,3,1.5,1349,12396,3.0,0,0,3,8,1808,0,2013,0,98073,47.7727,-122.275,1900,1688
428767.4,2,1.0,1683,8702,1.0,0,0,3,7,1538,0,1961,0,98155,47.4009,-122.162,1945,7990
1030203.8,3,2.25,2641,8981,1.5,0,2,4,9,2730,1413,1923,0,98007,47.6332,-122.279,3137,12585
771910.6,4,2.5,2224,47632,2.0,0,0,4,9,2117,692,2014,0,98064,47.5541,-122.134,2969,5284
411309.0,3,1.75,1207,5461,1.0,0,0,5,7,1327,0,1927,0,98119,47.6991,-122.352,1990,6911
322332.9,3,1.75,3348,14178,1.0,0,0,3,9,1443,0,1959,0,98176,47.587,-122.267,3672,9933
454060.5,3,1.0,4313,7935,1.0,0,0,3,7,1610,0,1952,0,98134,47.526,-122.172,2254,10602
345438.1,3,2.0,2524,6112,1.5,0,0,3,7,1309,0,1930,0,98036,47.4052,-121.995,1808,14439
679878.2,4,2.5,3042,9702,2.0,0,0,4,8,2073,0,1998,0,98057,47.6759,-122.124,2432,8886
338789.4,4,2.5,2061,8792,1.0,0,0,3,7,1353,0,1963,0,98038,47.3961,-122.153,1691,6546
586476.3,3,1.75,1900,6383,2.0,0,0,3,8,3599,310,2014,0,98074,47.5077,-121.986,2161,1564
501284.9,4,2.5,2090,12273,1.0,0,1,3,7,2715,0,1973,0,98038,47.5938,-122.333,2633,6963
464004.3,2,1.0,5580,5930,1.0,0,3,4,6,1656,1823,1944,0,98153,47.667,-122.271,2616,6272
1534692.8,6,3.25,6359,11145,1.0,0,0,4,7,4486,0,1949,0,98008,47.461,-122.163,4382,12950
543319.9,3,1.0,1800,10387,1.0,0,0,4,8,1055,0,1979,0,98116,47.7467,-122.355,1469,7517
544921.9,3,2.25,2351,49615,3.0,0,0,4,6,3625,0,2012,0,98010,47.6542,-121.754,1843,1432
338589.6,4,2.5,2043,8835,1.0,0,0,4,7,1668,0,1998,0,98060,47.5007,-122.151,1669,10174
553069.7,4,2.5,2083,57917,2.0,0,0,3,11,2518,0,1992,0,98040,47.554,-122.079,2968,8379
2044862.6,5,3.75,4605,3769,1.0,1,2,3,6,2140,0,1953,0,98127,47.6133,-122.131,4092,13501
546480.5,3,1.5,3607,17952,1.0,0,0,4,7,1244,1634,1973,0,98179,47.5052,-122.273,1892,14440
474249.2,5,2.25,1268,4901,1.0,0,0,3,7,1598,391,1924,0,98148,47.6903,-122.358,1456,8702
522974.3,4,1.75,1775,10999,1.0,0,0,4,7,1394,702,1959,0,98120,47.7681,-122.333,1896,5856
654721.2,4,2.5,2049,6290,2.0,0,0,4,8,2370,794,1981,0,98065,47.5423,-122.12,2774,4973
366663.8,3,4.5,1526,16037,1.0,0,0,3,9,1951,0,1918,0,98157,47.7087,-122.169,2241,7808
545494.0,4,1.5,2310,4246,1.5,0,0,3,5,3091,0,1927,0,98118,47.5859,-122.336,1889,5052
311233.7,4,2.5,2206,11252,2.0,0,0,3,8,2116,0,2009,0,98108,47.3882,-122.17,2252,7029
332330.3,3,1.0,1728,10085,1.0,0,0,4,7,1404,0,1954,0,98183,47.5312,-122.374,2127,8000
2190948.8,2,2.0,3255,12595,1.0,0,0,3,6,4986,0,1953,0,98157,47.5359,-122.161,2962,8767
1412559.7,3,3.0,4607,10268,1.0,0,0,5,7,2016,560,1957,0,98182,47.5026,-122.266,3153,12351
402062.0,2,1.5,2577,3652,1.0,0,0,3,7,1756,0,1970,0,98037,47.3867,-122.16,2060,7817
772198.6,4,2.75,4253,11450,2.0,0,0,3,10,3206,0,2013,0,98057,47.6535,-122.068,3503,143444
518783.6,3,2.0,1074,10465,1.0,0,0,3,8,1654,416,1979,0,98122,47.7168,-122.361,1592,6824
440685.6,2,1.0,1928,7818,1.0,0,0,3,7,1807,0,1970,0,98081,47.4142,-122.164,3193,15022
380696.7,6,1.0,1706,7690,1.0,0,0,4,7,1456,0,1971,0,98040,47.3738,-122.173,2064,20194
1702586.9,3,2.75,1872,6628,1.0,0,0,3,7,4117,0,1973,0,98082,47.4149,-122.138,4116,14919
617295.6,3,2.5,2173,145610,2.0,0,0,3,8,2253,0,2009,0,98067,47.6889,-122.127,1661,38399
830537.2,4,2.5,2174,5249,1.5,0,2,3,8,2207,868,2007,0,98120,47.5715,-122.378,2613,7169
350014.8,3,2.5,2521,1319,2.0,0,0,3,8,3550,0,2011,0,98134,47.4197,-122.256,2215,1395
381171.2,3,1.5,1838,10692,1.0,0,0,5,7,1692,0,1953,0,98174,47.4637,-122.342,1528,41597
838696.5,4,3.5,2946,6764,2.0,0,0,4,10,3956,696,1964,0,98038,47.5747,-122.275,3848,5713
399714.2,5,2.5,2188,6111,2.0,0,0,3,7,2962,0,2009,0,98042,47.3877,-121.823,2198,5467
381062.1,2,1.75,2307,5416,1.0,0,0,3,7,1321,485,2007,0,98038,47.3294,-122.285,1928,6190
1535648.1,4,2.75,3088,21873,2.0,0,0,3,9,3612,0,1992,0,98077,47.5775,-121.997,3849,10239
1810413.7,3,2.5,5402,3879,2.0,0,0,3,10,4614,0,1986,0,98010,47.6606,-122.086,4282,38033
800399.8,3,2.5,2235,11260,1.0,0,0,4,8,4457,0,1971,0,98040,47.7036,-122.156,3064,47251
