Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
31,3,191,90515,3,8.8,1,0,1,0,0,1,0
40,4,24,93471,3,1.5,3,135,0,0,0,0,0
32,1,75,90533,2,8.8,1,0,0,0,0,0,0
35,23,35,93266,1,2.9,1,148,0,0,0,1,0
54,24,17,90132,1,1.3,3,0,0,0,0,1,0
30,2,15,93146,2,2.9,3,0,0,0,0,1,0
45,29,193,91554,2,7.4,1,0,1,0,1,0,0
43,19,91,95076,2,3.2,1,0,0,0,1,1,1
30,11,111,93256,1,3.1,1,0,0,0,0,0,0
41,19,19,93377,4,2.1,3,200,0,0,0,0,1
62,29,77,94758,2,1.9,1,0,0,0,0,1,0
45,15,70,90399,4,1.5,2,0,0,0,0,1,0
55,25,217,91621,4,2.6,3,0,0,0,0,1,0
33,14,117,94322,3,4.0,2,0,0,1,0,1,1
41,17,52,90205,3,0.4,1,0,0,0,0,1,1
45,12,27,91442,1,3.1,3,0,0,1,0,1,1
63,38,43,95792,4,1.0,3,0,0,0,0,1,1
41,8,47,90200,1,1.3,3,0,0,0,0,1,0
57,29,41,96154,2,2.2,1,201,0,0,0,1,1
57,35,63,91971,3,0.2,2,142,0,0,0,1,0
57,26,98,94209,2,2.2,1,399,0,1,0,1,1
27,6,25,96089,4,1.3,3,185,0,0,0,0,1
65,39,47,94269,2,2.9,1,241,0,0,0,1,1
26,1,83,95865,1,1.0,2,0,0,0,0,1,0
56,10,71,94350,3,1.7,3,0,0,0,0,1,0
39,27,55,92299,4,1.3,3,0,0,0,0,1,0
44,23,78,91387,1,0.3,1,201,0,0,0,1,1
61,29,41,92933,4,1.0,3,128,0,0,0,0,0
50,24,92,92011,1,2.2,1,0,0,1,0,0,1
48,23,171,93273,1,2.7,3,0,1,0,0,0,0
33,9,48,92231,4,3.4,2,0,0,0,0,0,0
40,2,96,94874,3,2.1,3,0,0,0,0,0,0
51,26,44,90329,3,2.3,1,0,0,0,0,0,0
27,2,97,94106,4,2.5,3,0,0,0,0,1,0
36,6,82,94291,4,1.8,3,0,0,0,0,0,0
56,28,51,93095,2,3.0,3,0,0,0,0,1,0
32,13,103,93319,4,2.8,2,136,0,0,0,1,0
49,22,103,90199,2,1.5,1,310,0,0,0,1,0
36,15,21,96124,3,1.4,1,79,0,0,0,0,0
47,23,81,90320,2,1.0,1,170,0,0,0,0,0
38,12,136,92175,2,6.2,1,0,0,0,0,1,0
30,6,110,94912,3,0.3,3,0,0,0,0,0,1
38,7,171,92153,1,5.9,2,0,1,0,0,0,0
63,38,47,93085,4,1.3,3,153,0,0,0,1,0
34,7,42,90462,4,0.6,1,0,0,0,0,1,1
58,28,92,94917,4,0.3,1,0,0,0,0,1,0
65,40,41,92983,3,1.1,3,236,0,0,0,0,0
48,29,102,91895,1,3.3,2,0,0,0,0,1,1
36,5,174,92864,1,8.7,1,0,1,0,1,1,1
65,41,83,96172,1,2.2,1,0,0,0,0,1,0
56,34,194,92217,2,7.6,2,359,1,1,1,1,0
29,6,79,92344,4,2.9,2,0,0,0,0,1,0
39,23,189,91999,2,9.5,1,0,1,0,1,1,0
45,24,38,92147,4,2.6,1,0,0,0,0,1,1
36,5,202,94219,1,2.0,3,0,1,0,0,0,0
39,18,53,94987,4,2.6,2,0,0,0,0,1,0
23,-2,47,94885,4,0.7,3,0,0,0,0,1,0
24,-1,110,96091,1,2.7,2,0,0,0,0,1,0
25,0,96,93241,3,2.0,3,0,0,0,0,0,0
31,4,166,93356,1,7.7,1,0,0,0,0,1,0
41,19,27,92151,4,1.2,1,173,0,0,0,1,0
46,21,95,92259,3,2.1,3,118,0,0,0,0,1
38,3,79,91185,4,0.8,3,0,0,0,0,0,0
60,29,24,91883,1,0.6,1,0,0,0,0,0,0
35,21,173,91335,3,2.9,1,0,0,0,0,1,0
51,31,151,91842,1,5.6,1,0,0,0,0,1,0
27,-1,44,95770,4,1.4,3,173,0,0,0,1,0
66,41,169,94584,2,1.2,1,146,0,1,1,1,1
56,17,86,91736,4,2.5,3,0,0,0,0,0,0
27,8,53,94295,2,2.1,2,0,0,0,0,0,0
39,19,99,95453,1,3.4,3,0,0,0,0,0,0
52,15,91,94335,1,1.8,3,226,0,0,0,0,0
44,25,42,93098,1,1.9,2,0,0,0,0,1,0
32,8,220,92343,1,3.1,2,0,0,0,0,1,0
49,23,16,90277,3,1.9,1,0,0,1,0,1,0
52,30,14,94633,1,1.6,1,0,0,0,0,1,1
46,35,110,93102,3,5.0,2,0,1,0,1,0,0
31,7,197,92244,2,8.8,2,0,0,0,0,0,0
59,18,36,95002,2,2.1,3,246,0,0,0,0,1
59,37,102,92383,2,3.6,1,191,0,0,0,1,0
57,29,79,93187,2,3.1,1,0,0,1,1,1,1
36,28,108,94234,1,2.6,2,189,0,0,0,0,0
27,0,104,93102,4,1.1,3,93,0,0,0,0,1
59,36,57,91560,4,1.6,2,385,0,0,0,1,0
51,22,30,95183,3,1.6,2,199,0,0,0,0,1
51,31,48,93053,4,0.8,3,0,0,0,0,1,0
53,31,37,95039,4,1.2,1,0,0,0,0,1,0
57,38,57,94690,2,0.4,2,0,0,1,0,0,1
43,17,156,91491,1,1.5,1,0,0,0,1,1,1
46,21,52,96090,2,0.3,3,0,0,0,0,1,1
64,39,28,90283,1,1.3,3,156,0,0,0,1,0
62,26,25,91970,2,1.0,3,176,0,0,0,1,0
50,20,146,94932,2,1.9,1,0,0,0,0,1,0
51,16,103,92072,4,1.1,2,0,0,0,0,1,1
46,18,42,93038,2,1.6,3,115,0,1,0,1,1
35,10,86,90181,1,0.2,3,0,0,0,0,0,1
46,15,94,90225,4,2.6,3,0,0,0,0,0,0
50,27,150,92206,2,1.1,2,0,0,0,0,0,0
24,-2,77,96009,3,1.2,1,0,0,0,0,0,0
34,8,17,95104,1,1.2,1,0,0,0,1,0,1
56,30,27,92069,4,3.0,3,149,0,0,0,1,1
57,24,164,91575,2,5.2,1,0,0,0,0,0,0
57,29,116,92750,3,3.1,2,0,0,0,0,0,0
45,16,110,91466,3,1.0,1,0,0,0,0,0,0
53,36,173,95917,1,3.8,3,0,0,0,0,0,0
32,4,83,92935,1,2.1,1,0,0,0,0,0,0
44,5,80,92046,4,1.9,1,0,0,0,0,1,0
43,16,58,94237,4,3.2,3,0,0,0,0,0,1
40,19,104,92953,2,3.4,1,0,0,0,0,0,0
27,2,44,93028,1,0.2,3,196,0,1,0,1,0
42,16,168,90387,2,6.4,1,0,0,0,0,0,0
25,-1,50,93234,2,1.2,1,177,0,0,0,0,0
57,29,52,95816,3,2.1,3,317,0,0,0,1,0
48,16,183,91516,3,2.7,3,381,0,0,0,0,0
45,12,70,92182,2,2.4,2,0,0,0,0,1,0
29,9,48,92347,3,1.8,2,191,0,0,0,0,0
30,7,29,90429,3,1.4,3,0,0,1,0,1,0
55,26,170,92862,1,0.3,1,0,0,0,0,1,0
64,36,42,94061,1,0.9,1,0,0,0,0,1,0
53,32,33,94774,3,1.4,1,0,0,0,0,1,1
50,28,65,90294,2,1.7,1,0,0,0,0,1,1
43,10,52,91294,3,1.5,2,0,0,0,0,1,0
24,-2,23,95715,4,1.9,2,0,0,0,0,1,1
50,26,17,92311,1,0.4,3,0,0,0,0,1,0
45,20,146,96078,4,5.2,2,0,0,0,0,0,0
51,27,38,90299,4,0.3,2,0,0,1,0,1,0
54,16,44,92112,4,0.9,3,0,0,0,0,1,1
26,-1,195,94365,2,3.3,2,218,1,0,1,0,1
63,40,15,90289,2,2.8,3,119,0,0,0,0,1
36,11,72,92210,3,1.9,1,0,0,0,0,0,0
62,37,86,95714,2,2.7,2,0,0,0,0,1,0
36,7,70,94823,1,1.4,2,0,0,0,0,1,0
38,29,107,94215,2,2.8,1,0,1,0,0,0,0
62,37,86,94388,2,2.0,3,0,0,0,0,0,1
48,31,20,95946,1,0.0,1,0,0,0,0,0,1
42,32,58,90458,4,3.1,2,0,0,0,0,1,1
60,34,37,94203,4,2.2,3,0,0,0,0,0,0
52,15,13,90446,1,6.5,1,0,0,0,0,1,0
47,8,98,90338,1,0.2,2,0,0,0,0,1,0
26,-1,142,91634,2,5.4,1,0,0,0,0,0,1
34,5,160,94984,2,5.5,1,0,0,0,0,0,0
62,37,49,95108,2,3.2,1,134,0,0,0,1,1
30,6,48,91383,2,0.3,2,0,0,0,0,1,0
25,0,101,94484,2,1.8,3,0,1,0,0,0,1
64,36,41,90196,3,1.0,2,0,0,0,0,1,0
58,27,89,94926,2,3.1,1,140,0,0,0,1,1
46,15,158,93286,1,6.5,1,0,0,0,0,1,1
26,1,98,95137,4,1.3,2,0,0,0,0,1,1
50,31,50,93426,3,1.1,1,0,0,1,1,1,1
36,2,92,94823,2,0.7,2,0,0,0,0,0,1
34,10,87,94184,2,2.8,1,0,0,0,0,1,1
32,11,161,92279,4,7.6,1,276,0,0,0,1,0
31,11,134,94288,3,3.7,2,0,0,0,0,1,0
66,36,116,93347,1,2.2,1,0,0,0,0,1,0
56,21,74,94045,1,2.6,1,296,0,0,0,1,0
28,2,39,93076,4,2.1,3,0,0,0,0,0,0
33,17,154,95135,2,2.6,1,0,0,0,0,0,0
25,2,154,91542,1,1.1,1,0,0,0,0,0,1
37,3,148,94019,1,1.4,3,0,0,0,0,1,1
53,19,77,90299,1,2.6,3,0,0,0,0,0,0
27,1,21,95867,3,2.4,3,119,0,0,0,1,0
55,22,164,94140,2,5.8,3,0,1,0,0,0,0
62,39,27,93562,3,1.5,2,0,0,0,0,1,1
65,37,36,95813,1,2.0,1,0,0,0,0,0,0
65,37,49,93044,3,2.0,2,0,0,0,0,1,0
60,21,151,91486,1,6.7,1,0,0,0,0,0,0
58,29,157,94157,2,4.8,1,0,0,0,1,0,0
34,8,50,92593,4,1.3,1,0,0,0,0,0,1
33,11,86,93339,2,2.4,1,0,0,0,0,0,0
47,15,51,94183,4,1.8,2,0,0,0,0,1,0
54,29,29,90522,1,1.0,3,0,0,0,0,0,0
61,35,169,94754,4,1.0,3,0,0,1,1,1,1
41,14,161,94972,2,5.8,1,144,0,0,0,0,0
46,26,81,90518,3,2.5,3,0,0,0,0,0,0
45,16,37,95881,1,2.3,3,0,0,0,0,1,0
57,29,15,94316,4,2.4,3,0,0,0,0,0,1
41,17,105,90482,1,3.5,2,0,0,0,0,0,1
45,16,27,90219,2,1.2,3,0,0,0,0,1,0
58,30,44,94791,2,0.6,1,0,0,1,0,1,0
50,16,28,94711,4,1.9,2,140,0,0,0,1,1
29,6,154,92287,3,3.2,1,0,0,0,0,1,0
48,24,171,95245,2,6.7,3,0,1,0,0,0,0
41,14,31,94161,3,1.2,3,142,0,0,0,1,0
62,38,42,94227,3,1.5,3,0,0,0,0,1,0
44,17,27,90324,1,2.7,2,175,0,0,0,1,0
49,24,47,93133,4,0.6,2,0,0,0,0,0,0
49,14,84,94783,1,1.1,1,0,0,0,0,0,0
33,16,53,95024,4,0.3,3,0,0,0,0,1,1
25,-1,96,92304,4,1.9,3,0,0,0,0,1,0
62,35,43,94131,2,2.1,1,0,0,0,0,1,0
57,34,53,94788,1,1.2,2,0,0,0,0,0,0
29,8,45,93211,4,2.6,2,0,0,0,0,0,0
45,22,47,94680,4,2.3,3,194,0,0,0,1,0
55,29,137,94969,1,5.9,1,0,0,0,0,1,0
48,23,29,92901,4,3.2,1,231,0,0,0,1,1
32,9,100,94267,3,1.3,2,0,0,0,0,1,1
28,4,102,91943,1,1.0,3,143,0,0,0,0,1
51,29,51,90278,3,2.6,3,0,0,0,0,1,1
33,10,194,94485,1,9.0,1,0,1,0,0,0,0
36,12,60,90253,4,2.2,2,0,0,0,0,1,0
63,40,46,92355,4,1.5,1,135,0,0,0,0,0
37,3,78,94265,4,2.3,1,332,0,0,0,0,0
56,28,56,92302,2,1.3,1,0,0,0,0,1,0
43,20,146,94229,1,1.0,1,0,0,0,0,1,0
58,29,71,94939,2,1.1,3,210,1,0,0,1,1
57,38,95,92081,1,3.5,1,0,0,1,0,1,0
48,36,33,93126,3,2.5,3,0,0,0,0,0,1
63,41,199,94231,1,0.6,3,0,0,0,1,1,1
45,17,16,94830,1,1.5,1,166,0,0,0,0,0
25,2,50,92733,4,2.7,2,0,0,0,0,1,0
58,31,131,95019,2,2.9,2,288,0,0,0,0,0
36,11,66,95110,2,1.8,2,0,0,0,0,0,0
33,11,33,94277,3,1.1,3,0,0,0,0,1,0
55,30,86,94782,1,2.8,1,0,0,0,0,1,0
