Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
36,8,51,93249,3,2.6,1,0,0,1,1,1,1
30,3,61,92344,4,3.2,1,176,0,0,0,1,0
38,20,173,95603,2,3.6,1,0,0,0,0,0,1
44,24,91,90231,2,3.6,1,145,0,0,0,1,1
49,20,48,91426,1,2.3,3,347,0,0,0,0,1
55,29,28,94045,3,1.5,3,180,0,0,0,0,0
28,6,137,90253,4,3.4,1,0,0,0,0,0,1
31,1,175,95140,3,2.5,3,0,0,0,0,0,1
55,31,197,90297,2,2.4,1,0,0,0,0,0,0
46,13,32,90425,4,2.8,3,135,0,0,0,0,1
37,23,76,94920,4,1.5,1,0,0,0,0,1,1
46,13,46,94460,3,2.7,3,269,0,1,0,1,1
49,27,53,95079,3,2.8,2,0,0,1,1,1,1
45,10,174,95623,2,4.0,1,0,0,0,0,1,0
50,23,54,93037,1,1.9,1,122,0,0,0,0,1
45,30,51,90269,3,3.0,2,133,0,0,0,1,1
52,29,36,90307,3,2.1,2,0,0,0,0,1,1
54,29,203,95231,1,8.2,2,0,1,0,0,1,0
38,9,165,91768,4,7.0,2,0,1,0,1,1,1
29,4,29,91802,4,3.4,3,140,0,0,0,1,1
41,25,206,90239,2,6.7,1,0,0,0,0,0,0
56,31,58,92341,1,3.7,1,0,0,0,0,1,1
36,12,79,90527,1,1.2,1,0,0,1,0,1,1
63,38,60,90362,3,1.8,3,0,0,0,0,1,1
46,21,25,92253,3,0.7,1,0,0,0,0,1,1
30,14,69,91394,4,1.0,2,0,0,0,0,1,0
56,24,153,93678,2,5.5,1,366,1,0,1,1,1
32,8,45,95534,1,2.7,2,0,0,0,0,0,1
59,30,207,95220,1,0.0,2,0,0,0,0,0,1
43,19,107,91941,4,3.5,1,0,0,0,0,1,0
28,0,95,90148,4,0.6,2,0,0,1,0,0,1
60,31,28,93256,1,1.9,3,0,0,0,0,1,1
48,10,94,95908,2,2.4,3,0,0,0,0,0,1
26,0,50,94359,4,4.3,3,0,0,1,0,1,1
38,21,49,90433,2,1.4,1,380,0,0,0,0,1
61,35,13,91577,3,0.3,3,0,0,0,0,0,1
43,21,54,94187,4,0.9,3,0,0,0,0,0,0
54,23,37,92193,1,0.9,3,229,0,0,0,0,1
60,31,54,94382,4,1.7,3,0,0,0,0,1,1
24,-2,72,90371,4,0.3,1,0,0,0,0,1,0
50,28,73,94310,2,1.5,1,0,0,0,0,1,1
49,15,57,90179,3,1.9,1,0,0,0,0,1,0
53,32,154,92372,1,1.8,1,143,0,0,0,0,1
47,26,38,95544,1,2.3,1,218,0,0,0,1,1
58,28,199,95071,1,8.8,1,0,1,0,0,0,0
59,39,33,93016,3,4.0,3,0,0,0,0,0,0
