Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
35,24,27,92185,1,1.7,3,132,0,0,0,1,0
60,34,135,95196,1,2.9,2,0,0,0,0,1,0
39,17,77,92097,2,0.2,1,177,0,0,0,1,0
40,14,173,92087,1,8.0,1,0,1,0,0,1,0
63,38,55,95899,1,2.5,3,0,0,0,0,0,0
61,39,203,93218,1,6.8,1,266,1,0,0,1,0
55,34,100,92826,2,1.2,1,0,0,0,0,0,1
38,19,209,91674,1,2.5,3,0,1,0,1,1,0
36,14,101,94830,4,2.8,1,0,0,0,0,0,0
29,4,96,94352,4,1.2,2,163,0,1,0,0,1
35,7,96,95681,1,1.6,2,0,0,0,0,1,1
46,12,162,90467,2,1.5,1,0,0,0,0,1,1
44,20,109,94874,1,3.4,2,343,0,0,0,1,0
32,9,53,94905,3,1.5,2,125,0,0,0,0,0
32,8,34,94304,3,2.5,2,0,0,0,0,1,1
32,5,141,93145,2,1.6,1,0,0,0,0,0,1
50,30,99,94259,4,3.4,2,0,0,0,0,0,1
55,28,54,94782,1,1.8,3,135,0,0,0,1,0
29,6,178,95260,4,2.8,2,143,0,1,0,0,1
47,25,92,95283,1,0.8,1,260,0,0,0,0,0
33,7,45,94344,2,3.3,3,0,0,0,0,1,0
61,34,36,95454,3,0.1,1,0,0,0,0,0,1
60,30,31,92055,1,1.6,2,0,0,0,0,1,1
56,36,194,92874,1,3.3,1,419,0,0,0,0,1
31,3,96,93322,4,0.4,2,0,0,1,0,1,0
61,34,97,92391,3,1.0,2,0,0,1,0,0,1
57,23,163,94345,1,3.0,3,0,1,0,0,1,0
56,36,52,94764,4,3.3,3,193,0,0,0,0,0
46,27,46,91792,1,0.3,1,0,0,0,0,1,0
26,3,30,92157,1,3.9,3,0,0,0,0,1,0
55,26,114,93431,1,1.0,2,0,0,0,0,1,0
34,5,90,92023,1,0.0,1,207,0,0,0,0,1
32,14,49,92140,1,0.0,1,136,0,0,0,0,0
35,12,107,95034,1,1.9,3,0,0,0,0,1,0
46,19,82,94917,2,1.8,3,0,0,0,0,1,0
47,23,31,90506,2,2.4,1,0,0,0,0,1,1
47,24,23,90563,4,0.8,3,0,0,0,0,1,0
50,23,95,95990,1,1.9,1,0,0,0,0,1,0
40,18,26,91365,1,1.3,3,0,0,0,0,0,1
43,23,95,94354,4,8.8,3,338,0,0,0,1,1
30,5,62,91336,2,2.5,3,0,0,0,0,1,0
58,28,119,90428,1,1.6,3,0,0,1,0,1,0
34,8,79,90631,4,0.2,2,0,0,0,0,0,0
41,7,109,94945,4,1.3,1,274,0,0,0,0,0
65,37,94,90517,2,0.3,1,0,0,0,0,1,0
59,34,35,92249,1,2.5,3,0,0,0,0,1,0
58,31,164,92132,2,4.7,1,248,1,1,1,0,1
42,12,24,92342,2,1.2,1,0,0,0,0,1,1
28,0,27,95192,1,2.4,3,0,0,0,0,0,0
31,4,126,91766,1,2.5,3,0,1,0,0,0,1
57,29,63,93076,2,1.8,1,0,0,0,0,1,0
31,3,102,91554,1,2.9,1,0,0,0,0,0,0
45,29,116,94050,4,2.9,3,0,1,0,0,1,0
51,30,32,95966,4,1.7,3,0,0,0,0,0,0
34,5,99,93087,2,1.4,1,0,0,0,0,0,0
52,26,26,92351,4,2.1,1,229,0,0,0,0,0
36,19,87,92320,1,0.0,1,0,0,0,0,1,0
31,4,77,92272,2,0.0,3,0,0,0,0,0,0
48,19,94,93377,1,0.9,3,156,0,0,0,1,1
36,9,89,93015,1,1.5,3,205,0,0,0,0,1
40,8,87,94139,3,3.6,2,0,0,0,0,0,1
53,27,39,94915,3,1.4,3,0,0,1,0,0,0
58,38,165,94256,3,1.0,3,0,0,1,0,1,1
28,16,39,92017,1,3.2,3,0,0,0,0,1,0
28,13,33,95784,1,3.6,2,0,0,1,0,1,0
35,14,40,95747,4,1.3,1,199,0,0,0,1,0
37,10,94,95009,2,0.3,1,0,0,1,0,1,1
61,32,96,92651,1,1.7,2,0,0,0,0,1,0
48,17,27,92172,1,2.2,3,0,0,0,0,1,0
41,17,113,93110,1,2.0,3,257,0,0,0,1,0
48,29,154,93112,3,7.9,1,0,1,0,0,0,1
48,27,99,91865,2,2.6,1,0,0,0,0,0,0
63,37,98,94901,3,1.4,1,343,0,0,0,0,0
35,6,47,90167,1,1.1,3,0,0,0,0,1,0
38,20,90,93332,1,2.8,1,232,0,1,0,0,0
50,27,32,90144,4,1.3,3,0,0,0,0,0,0
57,40,50,95202,3,5.1,3,0,0,0,0,0,1
49,21,101,90192,1,1.8,2,0,0,0,0,0,0
36,19,37,90127,1,2.6,1,162,0,0,0,1,0
39,15,102,95913,1,3.2,3,0,0,0,0,0,0
47,27,125,91768,1,2.3,3,0,0,0,0,1,0
54,31,89,94973,2,3.1,1,0,0,0,0,0,0
42,14,117,95098,1,3.0,3,0,0,0,0,1,1
28,0,61,95200,1,1.9,3,135,0,0,0,0,1
49,32,45,94310,1,4.1,3,0,0,0,0,1,0
49,20,80,91325,2,1.4,1,319,0,0,0,0,0
31,10,84,90202,1,2.8,1,181,0,0,0,0,0
39,17,107,92284,4,9.9,3,180,0,0,0,0,0
51,28,39,94959,1,2.7,3,0,0,0,0,1,0
35,7,17,92001,3,1.0,1,0,0,0,0,0,0
55,35,52,94173,1,0.5,1,0,0,0,0,0,0
56,25,126,94338,1,2.9,3,189,1,0,0,1,1
60,31,104,92977,1,3.0,1,0,0,0,0,1,0
41,16,39,92304,1,3.3,3,0,0,0,0,1,1
