Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
51,17,32,92911,1,2.5,3,0,0,0,0,1,1
34,12,99,95738,2,3.0,1,0,0,1,0,1,1
33,12,169,94272,4,1.0,1,300,0,1,0,1,1
46,24,50,90129,3,1.4,2,155,0,0,0,0,1
62,34,55,92083,1,0.3,1,202,0,0,0,1,0
50,22,25,94060,4,2.9,2,0,0,0,0,1,0
64,37,32,94937,1,3.2,2,0,0,0,0,0,1
53,22,170,94732,2,8.9,1,304,1,0,0,1,1
31,3,165,95365,2,4.7,1,137,0,0,1,1,1
47,17,36,94121,3,3.1,2,223,0,0,0,0,1
39,6,143,93315,1,0.9,3,0,0,0,0,0,1
26,6,89,91534,3,2.0,3,0,0,0,0,1,1
45,21,89,94179,1,8.8,2,0,0,0,0,0,0
53,25,91,91273,3,3.0,2,143,0,0,0,0,0
36,20,48,96248,4,2.8,1,0,0,1,0,1,1
28,1,101,92146,3,2.9,2,0,0,0,0,0,1
42,14,178,92895,1,5.8,3,0,1,0,0,1,1
43,14,34,94816,1,1.7,3,0,0,0,0,0,1
26,0,85,92996,1,0.2,1,0,0,0,0,1,1
62,36,81,93312,2,0.2,1,0,0,0,0,0,1
33,6,114,90289,3,2.6,3,261,0,0,0,1,1
32,4,33,95040,4,2.7,2,0,0,0,0,0,1
27,1,30,96039,4,2.4,3,0,0,0,0,1,0
26,2,35,93419,1,1.2,2,0,0,0,0,1,1
28,3,93,93115,4,2.3,3,0,0,0,0,0,0
62,37,98,90186,1,2.9,1,133,0,0,0,1,0
57,29,17,91627,3,2.7,3,110,0,0,0,0,1
62,32,199,94647,3,2.3,3,264,1,1,1,1,1
55,36,34,95050,4,2.9,2,134,0,0,0,1,0
29,3,50,94319,4,2.5,1,0,0,0,0,1,0
50,15,50,93145,1,0.6,1,156,0,0,0,0,0
27,2,42,94143,1,3.9,3,0,0,0,0,1,1
54,21,36,92117,3,1.9,3,149,0,0,0,1,1
63,37,24,90605,1,2.4,1,131,0,0,0,1,1
43,16,90,91499,1,3.4,3,119,0,0,0,0,0
48,21,185,91921,2,3.0,3,0,0,0,0,1,1
60,33,144,95357,4,2.7,2,0,1,0,0,1,1
44,22,193,95833,1,1.9,1,107,0,1,0,1,0
47,29,157,91646,2,7.9,1,0,0,0,0,1,1
33,12,25,90218,3,2.9,2,0,0,0,0,0,1
44,11,93,95797,4,1.6,1,150,0,0,0,1,0
42,11,78,94197,4,1.4,2,0,0,1,0,1,1
32,5,18,94201,3,1.1,1,0,0,0,1,1,1
32,13,162,93519,1,0.4,1,0,0,0,0,1,0
33,5,36,93036,1,1.9,3,121,0,0,0,0,1
29,6,99,94963,1,3.1,1,158,0,0,0,1,1
53,23,98,94630,3,1.0,2,0,0,0,0,1,1
51,24,84,95969,3,2.5,2,193,0,0,1,1,1
45,21,50,93312,1,0.0,1,0,0,0,0,1,0
38,16,32,94075,4,2.9,2,266,0,1,1,1,1
29,2,100,94240,1,1.9,2,0,0,1,1,1,0
45,22,86,92268,4,2.3,1,0,0,1,0,1,1
50,28,89,94225,1,2.3,1,125,0,0,0,1,1
34,7,48,94243,3,0.2,2,0,0,0,0,1,1
55,25,88,94812,2,2.7,1,0,0,0,0,1,1
64,33,52,92638,1,2.1,3,0,0,0,0,1,1
39,16,46,90428,1,8.6,1,0,0,0,0,1,0
32,11,159,91480,2,6.7,3,380,0,0,1,0,1
41,13,77,90413,1,1.2,2,0,0,0,0,1,1
46,19,81,94969,3,2.3,2,117,0,0,0,0,1
58,35,127,95865,1,2.9,3,0,0,0,0,1,1
38,8,31,91578,3,3.1,3,135,0,0,0,0,0
50,27,194,94252,2,2.9,1,0,0,0,1,1,1
37,20,104,94177,1,2.6,2,192,0,0,0,0,1
32,5,91,94975,4,3.5,2,0,0,0,0,0,1
58,29,186,92360,2,2.9,1,0,0,0,0,1,0
44,22,172,93054,1,2.7,1,0,0,0,0,0,1
39,15,96,92277,1,0.0,1,0,0,0,0,1,1
58,33,91,95094,1,2.5,1,0,0,0,0,1,1
57,28,105,90146,1,2.3,3,0,0,0,0,1,1
45,20,37,94311,2,1.5,1,0,0,0,0,1,1
29,4,40,95738,2,3.8,1,331,0,0,0,1,1
42,9,126,94202,3,2.6,2,0,1,1,0,0,1
34,11,91,94296,2,0.3,1,0,0,0,0,1,1
36,8,17,90372,3,2.6,3,0,0,0,0,0,1
56,30,204,91956,1,9.7,1,0,1,0,0,1,0
66,42,177,93249,1,5.3,1,0,0,0,1,1,1
45,24,14,92985,3,0.0,1,0,0,0,0,1,1
35,17,28,95030,1,1.5,3,0,0,0,0,0,1
37,9,58,93292,1,2.8,1,0,0,0,0,0,0
45,23,149,92225,1,6.3,2,0,1,0,0,0,1
49,21,21,94911,1,2.0,3,0,0,0,0,0,1
41,19,56,95941,1,3.5,3,0,0,0,0,0,1
33,6,47,94579,1,0.3,1,0,0,0,0,0,1
28,10,30,92215,3,2.4,1,0,0,0,0,1,0
47,23,94,94587,3,2.9,3,0,0,0,0,1,1
52,32,217,94040,2,4.6,1,466,0,0,1,1,1
43,22,20,91683,4,0.3,3,0,0,0,0,1,0
58,37,53,94950,3,4.1,2,0,0,0,0,0,1
57,33,208,92374,1,4.0,1,0,0,0,0,1,0
46,21,29,92329,1,0.6,2,0,0,0,0,0,1
59,28,172,90287,2,6.7,1,0,1,0,0,1,1
60,25,79,96126,2,1.6,1,0,0,0,0,1,1
30,2,87,94648,1,0.3,1,0,0,0,0,1,1
63,30,11,90358,1,0.9,1,0,0,1,1,1,1
31,8,31,91948,1,0.0,2,0,0,0,0,0,1
49,23,126,94220,1,7.5,1,465,1,0,1,1,1
43,17,49,94095,3,2.9,2,0,0,1,0,0,1
33,5,50,93365,1,1.0,3,0,0,0,0,1,0
50,37,36,92980,3,2.0,1,164,0,0,0,1,1
48,30,151,90488,2,2.2,2,0,0,0,0,1,1
64,38,26,92130,1,3.2,1,0,0,1,0,1,0
66,43,104,92103,1,3.3,3,0,0,1,0,0,1
47,25,90,96105,1,2.8,1,0,0,0,0,1,1
46,20,100,94858,2,2.3,2,0,0,0,0,0,1
56,25,61,94849,4,2.3,2,0,0,1,0,1,0
45,21,56,90461,4,0.4,3,0,0,0,0,0,1
26,2,28,95080,3,0.2,1,0,0,0,0,1,1
34,7,173,93040,1,7.7,1,268,0,0,0,0,1
25,-2,39,93628,1,0.7,1,0,0,0,0,0,1
45,14,163,94238,1,9.4,1,0,1,0,1,1,1
34,8,51,90170,4,3.4,1,0,0,0,0,1,1
29,4,160,93158,4,2.3,2,0,0,1,0,1,0
44,18,49,92064,1,1.9,3,0,0,0,0,0,1
59,36,52,92274,4,4.2,1,0,0,0,0,1,0
44,24,56,94199,1,3.8,1,0,0,0,0,1,0
33,6,27,94131,4,2.1,3,0,0,0,0,0,1
37,8,88,95642,1,2.3,1,0,0,0,0,1,0
64,38,159,90511,1,0.0,1,0,0,0,0,1,1
58,34,51,92299,4,2.6,3,0,0,0,0,0,1
41,22,109,95017,3,1.8,2,124,0,0,0,0,1
49,15,101,94860,3,1.6,3,0,0,0,0,0,1
29,1,180,94302,2,8.0,3,0,0,0,0,0,0
65,38,103,92638,1,1.5,3,208,0,0,0,0,0
53,28,16,90246,4,0.0,1,132,0,0,0,1,0
49,33,32,94209,4,2.0,1,378,0,1,0,1,1
52,27,80,93164,2,2.8,1,0,0,0,0,1,1
50,20,86,93048,2,8.8,1,422,0,0,0,1,1
43,17,94,93906,3,1.5,2,0,0,1,0,1,1
24,-1,95,90238,4,2.4,2,0,0,0,0,0,1
46,26,157,94977,4,2.9,1,0,0,1,0,1,0
35,18,164,93465,2,5.2,2,0,1,0,0,0,0
43,23,214,91949,4,2.6,2,0,1,0,1,0,1
64,39,83,90464,4,3.6,1,0,0,0,0,1,0
37,13,194,94860,2,2.7,2,0,1,0,0,0,0
31,8,75,94197,3,1.9,1,244,0,0,0,1,0
56,18,96,92990,4,0.0,2,0,0,0,0,1,0
51,10,94,94158,2,2.0,3,0,0,0,0,0,1
53,24,50,95302,1,2.4,2,0,1,0,0,0,0
50,22,51,90360,3,2.1,3,119,0,0,0,0,1
60,38,224,91863,2,7.6,3,0,1,0,0,0,0
52,20,52,94984,1,2.2,3,0,0,0,0,0,1
38,8,37,91948,4,3.3,1,110,0,0,0,1,1
59,32,194,91418,2,2.4,2,0,0,0,1,1,1
52,18,121,94274,3,2.3,2,0,0,0,0,0,0
51,12,74,93161,1,5.7,1,0,0,0,0,1,0
52,25,36,92112,2,0.0,2,176,0,0,0,0,1
33,7,78,95946,4,1.5,3,192,0,1,0,1,1
56,32,88,94911,4,1.5,2,199,0,0,0,0,1
37,10,50,94095,4,2.2,2,0,0,0,0,1,0
36,7,104,94242,1,3.0,3,0,0,0,0,0,1
51,37,22,90351,3,0.6,2,0,0,0,0,1,0
46,18,15,95926,4,3.6,1,0,0,0,0,1,1
55,27,165,94683,4,0.0,1,0,0,0,1,1,1
32,11,190,92721,2,7.3,2,0,1,0,0,1,1
54,25,44,95624,1,2.1,1,0,0,0,0,1,1
46,17,170,92336,3,7.7,1,519,1,1,0,1,0
44,11,98,91718,1,2.1,3,387,0,0,0,0,1
52,27,89,92139,1,3.3,1,122,0,0,0,0,0
48,20,83,92251,3,1.9,1,0,0,1,0,1,1
57,30,146,92958,1,0.4,1,144,0,0,0,1,0
26,6,84,92199,4,0.0,1,0,0,0,0,0,0
53,33,80,95163,4,4.1,1,0,0,0,1,1,1
53,27,52,94798,4,3.3,1,0,0,0,0,1,0
56,32,97,94871,3,2.0,2,0,1,0,0,1,1
35,7,89,94169,3,0.3,2,0,0,1,1,1,1
57,34,45,95024,1,1.2,2,0,0,0,0,1,1
64,37,87,94357,1,4.5,3,0,0,0,0,1,1
41,20,117,93092,2,0.3,1,0,0,0,0,1,1
57,34,99,91408,1,7.3,1,0,0,0,0,1,0
58,35,52,94310,3,4.3,2,0,0,0,0,0,1
42,22,112,94784,1,2.6,1,0,0,0,0,1,1
55,33,48,94363,1,1.2,3,0,0,0,0,0,1
30,3,78,95912,3,2.7,1,0,0,0,0,0,1
30,6,58,95051,4,3.4,3,0,0,0,0,0,1
34,1,61,94058,3,0.4,2,0,0,0,0,0,0
65,39,196,93191,2,3.1,1,0,0,0,0,1,0
28,3,94,93112,3,2.7,2,0,0,0,0,0,1
52,34,101,92411,3,5.8,2,0,0,0,0,0,0
27,0,89,90272,3,1.6,1,0,0,0,0,0,1
44,20,31,95811,4,3.4,1,147,0,0,0,1,1
51,24,90,95049,4,3.5,2,0,0,1,0,1,1
62,35,49,94362,4,1.0,3,0,0,0,0,1,1
65,41,124,92745,2,3.2,1,0,0,0,0,1,0
47,13,19,95027,1,2.8,1,0,0,0,0,1,1
39,7,13,90332,1,0.0,2,0,1,0,0,1,0
57,26,47,93018,2,1.5,3,120,0,0,0,0,1
33,2,138,93122,1,4.5,1,165,0,0,0,1,1
28,3,93,90535,4,3.0,3,0,0,0,0,1,0
28,6,98,94076,1,6.9,3,392,0,1,1,1,1
30,15,65,94946,1,2.6,3,0,0,0,0,0,1
47,20,85,93162,2,2.8,1,192,0,0,0,1,1
63,40,104,92168,1,3.0,1,208,0,0,1,1,0
43,17,90,90168,1,3.1,1,325,0,0,0,1,1
29,9,46,93115,3,1.6,2,0,0,0,0,0,0
36,14,158,96124,1,2.3,2,0,1,1,1,1,1
62,34,77,92732,3,0.0,1,0,0,0,0,1,1
47,28,183,91620,3,7.0,3,520,1,0,1,0,1
30,5,30,93382,2,0.0,3,146,0,1,0,1,1
50,29,222,92188,2,9.4,1,356,1,0,0,1,0
39,20,150,94692,1,0.4,3,0,1,1,1,1,0
54,24,52,93292,2,3.1,3,0,0,0,0,0,1
52,34,179,95026,2,8.3,1,0,0,0,0,1,1
30,5,112,94185,1,2.9,3,0,0,0,0,0,0
62,38,48,95118,4,2.4,2,0,0,0,0,0,0
37,9,86,94807,4,2.0,2,0,0,1,1,1,1
38,6,82,90311,1,2.0,3,0,0,0,0,1,1
51,24,70,90409,1,4.4,1,0,0,0,0,1,0
57,30,60,90395,1,2.1,1,0,0,0,0,1,0
52,25,76,91314,1,0.8,1,0,0,0,1,0,1
49,22,88,92206,1,2.7,1,122,0,0,0,1,1
39,15,169,95180,1,3.0,1,0,0,0,0,0,1
48,29,112,95964,1,1.4,3,0,0,0,0,0,1
62,36,114,93490,4,3.2,1,0,0,0,0,1,0
50,28,83,90351,1,2.9,1,0,0,0,0,0,1
45,21,43,92943,1,2.0,1,0,0,0,0,1,1
64,40,49,94578,3,4.5,2,0,0,0,0,1,0
41,19,89,95715,1,1.5,1,133,0,0,0,1,0
45,32,99,94924,3,3.1,3,0,0,0,0,1,1
29,5,103,93138,1,3.0,3,0,0,0,0,0,1
56,25,106,91627,1,3.0,2,0,0,0,0,0,1
57,38,114,93295,2,1.8,1,234,0,0,0,1,1
46,19,60,92961,4,0.0,3,0,0,0,0,0,1
48,24,48,96118,4,1.7,1,0,0,0,0,1,1
49,24,193,94992,1,3.6,2,0,1,1,0,1,0
56,28,100,94841,1,3.4,2,253,0,0,0,1,1
64,33,37,94776,2,1.8,3,0,0,0,0,0,1
61,38,32,90484,1,1.3,1,0,0,0,0,1,0
32,6,90,94235,4,2.7,1,0,0,0,0,1,1
55,22,110,92018,2,0.2,1,0,0,0,0,0,1
46,24,204,91527,3,2.9,2,0,1,0,1,1,0
29,1,16,94499,1,0.3,3,0,0,1,0,1,1
29,11,155,94918,1,5.3,3,0,0,0,0,0,1
34,8,51,95018,4,1.8,1,0,0,0,0,1,1
28,2,169,92003,2,0.3,1,182,0,0,0,1,1
