Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
51,32,53,91977,4,3.1,3,0,0,0,0,0,0
24,0,91,93677,4,1.3,3,159,0,0,0,1,0
42,16,87,92249,1,3.4,3,0,0,0,0,1,0
64,40,126,90364,2,3.1,1,255,0,0,0,1,0
53,27,92,95061,1,0.0,1,274,0,0,0,1,0
62,37,100,93003,2,4.2,1,201,0,0,0,0,0
37,30,153,91264,1,3.0,1,0,0,0,0,1,0
45,12,86,92116,2,1.2,1,439,0,0,0,1,1
38,12,34,94768,3,3.0,1,0,0,0,0,0,1
28,6,91,94947,1,0.3,1,0,0,0,0,1,0
50,27,42,96041,1,1.1,3,265,0,0,0,0,0
34,5,93,92270,1,3.4,1,0,1,0,0,0,0
45,15,106,94292,2,1.7,1,0,0,0,0,0,0
33,12,27,94251,1,2.0,3,0,0,0,0,0,0
50,24,85,94968,3,2.2,2,0,0,1,0,1,0
55,28,192,96029,1,2.0,2,0,1,0,0,0,0
39,12,53,95181,1,1.7,1,199,0,0,0,1,1
35,19,39,94198,1,2.7,3,0,0,0,0,1,0
52,37,83,94669,4,3.1,3,0,0,0,0,0,0
51,30,91,92141,2,0.3,1,0,0,0,0,1,0
57,28,79,93329,1,5.0,2,197,0,0,0,0,1
30,10,23,93229,1,1.9,1,0,0,0,0,1,0
60,35,92,92195,2,3.4,1,0,0,0,0,0,1
53,25,88,92344,4,3.9,2,0,0,0,0,0,1
36,12,103,92165,1,0.3,1,0,0,0,0,1,0
28,5,51,94141,4,1.4,3,0,0,0,0,1,0
52,25,94,92143,2,1.8,1,0,0,0,0,1,0
34,13,198,94598,1,0.0,1,0,0,0,0,1,1
24,-3,18,95284,2,0.2,1,320,0,0,0,0,0
47,26,90,95780,2,1.1,3,0,0,0,0,1,0
43,14,102,94099,3,2.2,1,0,0,1,0,1,1
48,19,167,91674,2,5.8,2,0,1,0,0,1,0
55,29,106,94668,2,0.2,1,0,0,0,0,0,0
27,7,48,92924,1,6.6,2,182,0,0,0,1,0
59,34,40,94252,1,1.2,3,0,0,0,0,1,0
56,30,29,94267,4,0.9,2,153,0,0,0,0,0
30,4,88,92950,3,1.4,2,0,0,1,0,1,0
45,19,52,95853,1,1.4,1,0,0,1,0,0,0
37,8,111,92202,1,2.6,3,0,0,0,0,0,0
56,27,109,90281,3,3.9,2,0,0,0,0,1,0
39,22,19,90088,2,1.7,1,0,0,0,0,1,1
28,4,98,93169,4,2.1,2,0,0,1,0,1,0
46,13,84,94849,3,1.2,2,0,0,1,0,1,0
53,18,102,91899,3,2.6,1,0,0,0,0,0,0
60,33,162,95223,3,5.2,2,461,1,0,1,1,1
35,16,90,91541,2,3.0,3,0,0,0,0,0,0
65,42,31,94243,3,2.4,2,0,0,1,0,1,1
27,3,44,92355,4,1.8,3,157,0,0,0,1,0
33,9,46,91567,4,3.0,3,281,0,0,0,1,0
35,8,50,95760,1,1.5,3,0,0,0,0,0,0
60,37,21,90462,3,2.6,3,0,0,0,0,0,0
51,32,124,91996,3,0.4,1,0,0,0,0,1,0
42,9,102,91407,4,2.5,3,153,0,0,0,0,0
51,21,18,94861,4,1.9,3,0,0,0,0,0,0
58,37,43,92333,2,1.9,2,0,0,0,0,1,0
63,38,175,92872,4,3.5,1,0,0,0,0,0,1
47,26,161,95970,2,7.3,1,0,0,0,0,1,1
46,7,156,92430,1,1.1,1,146,0,0,0,1,0
65,42,15,93136,1,2.0,1,0,0,0,0,1,0
40,20,193,95161,4,9.2,3,0,1,0,1,0,1
31,6,26,94167,4,2.3,2,0,0,0,0,0,0
66,41,161,92346,3,5.8,2,0,0,1,0,1,0
64,38,92,95198,2,7.2,1,0,0,0,0,0,1
33,19,44,94833,2,1.2,3,0,0,0,0,0,0
43,15,92,92278,3,1.8,3,353,0,0,0,0,0
39,7,162,92553,1,1.7,2,0,0,0,1,1,1
40,16,33,95704,3,2.7,2,157,0,0,0,1,0
45,26,112,95596,1,0.6,1,0,0,0,0,1,0
63,36,164,90249,1,2.0,1,0,0,0,0,1,1
58,34,52,90278,2,2.0,3,201,0,0,0,1,1
45,25,142,94245,2,1.1,1,0,0,0,0,1,1
62,37,51,94132,1,0.0,1,207,0,0,0,1,0
38,16,109,93155,1,1.4,2,0,0,0,0,0,0
52,27,23,94185,3,2.4,3,0,0,0,0,1,1
54,29,59,95709,2,0.2,1,0,0,0,0,1,0
25,3,46,93227,4,1.5,2,0,0,0,0,1,0
56,31,119,92742,1,3.9,1,0,0,0,0,1,0
58,33,70,91551,1,1.0,1,0,0,0,0,0,0
53,34,121,93322,4,3.5,3,0,0,0,0,0,0
46,23,178,92265,1,0.3,2,0,0,0,0,1,0
50,25,97,91745,2,1.4,2,241,0,0,0,0,0
42,15,113,91899,4,3.0,1,186,0,0,0,0,0
28,3,100,92056,3,2.3,2,290,0,0,0,0,0
40,16,30,95797,4,0.2,3,157,0,1,0,0,1
35,11,184,94789,1,2.3,1,0,0,0,0,0,0
60,27,17,94807,1,0.3,1,0,0,0,0,1,0
26,4,22,95000,4,2.7,2,0,0,0,0,0,0
29,5,120,90118,4,3.1,1,0,0,0,0,1,1
33,6,53,95103,1,1.3,2,0,0,0,0,0,1
24,-1,26,94801,1,1.7,3,0,0,0,0,1,0
47,22,100,91518,4,3.3,2,287,0,1,0,0,0
35,16,18,94086,2,0.5,1,0,0,0,0,0,0
44,12,64,96050,2,1.9,1,285,0,0,0,1,0
58,39,93,91680,2,2.3,2,230,0,0,0,0,1
59,33,24,93142,2,2.0,3,152,0,0,0,1,0
59,25,96,94100,4,2.5,2,134,0,0,0,0,1
45,18,80,94627,4,1.4,3,0,0,0,0,1,0
48,32,91,93145,4,2.5,1,124,0,0,0,0,1
54,27,51,91429,1,0.3,3,233,0,0,0,1,1
58,29,123,93346,4,3.4,3,0,0,0,0,0,0
36,10,29,92187,1,1.9,3,0,0,0,0,1,1
46,30,30,94267,4,2.2,3,0,0,0,0,0,0
29,3,135,92383,3,5.1,2,0,1,0,0,0,0
53,27,38,96090,1,2.8,1,0,0,0,0,1,0
66,40,113,93146,2,1.6,1,0,0,0,0,1,0
27,6,97,94908,4,1.2,2,0,0,0,0,1,0
35,10,96,95059,4,1.2,3,0,0,0,0,1,0
33,8,28,92117,2,0.7,2,0,0,0,0,1,1
26,2,23,94795,1,0.4,1,175,0,0,0,1,0
31,11,151,96053,4,2.0,3,0,0,0,0,1,1
46,17,44,95148,3,1.7,2,0,0,0,0,0,1
58,36,125,90475,1,2.9,1,0,0,0,0,1,0
31,7,89,94847,2,5.1,2,0,0,0,0,1,0
53,29,55,95907,1,0.7,3,230,0,0,0,0,0
51,25,100,94888,2,2.3,1,316,0,1,0,1,1
63,38,161,92227,1,5.9,1,306,0,1,0,1,0
47,13,44,95181,1,0.5,3,0,0,0,0,1,0
41,17,97,94358,3,2.1,1,0,0,0,0,0,0
40,11,164,95245,4,7.7,2,0,1,0,0,0,0
35,16,103,94831,4,2.5,3,299,0,0,0,1,0
55,33,32,95047,1,1.0,3,278,0,0,0,1,0
63,32,85,93139,2,7.6,2,0,0,0,0,0,0
31,4,81,94922,4,1.5,3,0,0,0,0,0,0
29,3,92,95858,2,2.4,1,0,0,0,0,0,0
56,30,162,91259,1,8.2,2,307,1,0,1,1,0
35,8,78,93389,1,2.2,1,0,0,0,0,0,0
46,27,112,94773,4,4.2,2,0,0,0,0,1,0
55,29,98,91295,4,0.6,2,0,0,0,0,0,1
30,8,161,92144,4,6.9,1,0,0,0,0,0,0
35,11,21,95719,3,2.1,3,185,0,0,0,0,0
59,31,47,94250,3,0.5,2,304,0,0,0,0,1
38,8,104,91817,1,2.3,3,0,0,0,0,1,0
47,25,49,92973,3,0.9,2,0,0,0,0,1,0
60,33,173,91604,1,4.2,1,0,0,0,0,0,0
60,34,110,91865,4,2.6,1,260,0,0,0,1,1
35,8,179,92309,1,7.6,2,0,1,0,0,0,0
59,37,44,94865,1,1.4,3,0,0,0,0,1,1
41,7,93,90548,3,5.0,1,0,0,0,0,0,0
28,9,194,92233,1,9.0,1,0,0,0,0,0,1
35,4,98,94379,4,2.5,2,0,0,0,0,1,0
39,12,28,90295,2,1.2,1,247,0,0,0,1,0
33,13,160,92827,2,7.0,1,250,0,0,0,0,0
46,26,184,92151,1,1.0,1,0,0,0,0,1,0
45,17,49,91596,1,0.2,3,138,0,0,0,1,0
43,24,152,95148,1,5.9,1,0,0,0,0,1,0
28,2,34,92848,4,0.0,3,237,0,0,0,0,0
37,18,217,90463,3,8.6,2,401,1,0,0,0,0
55,31,80,94100,2,2.4,1,0,0,0,0,1,0
33,5,93,90509,4,3.5,3,190,1,0,0,0,0
33,14,29,90386,1,2.4,1,253,0,0,0,0,0
45,28,104,90141,2,1.0,3,0,0,0,0,1,0
44,18,105,92019,4,2.8,2,0,0,0,0,0,0
46,14,100,94908,1,0.3,3,0,0,0,0,0,0
31,7,161,92095,2,2.6,3,253,1,0,1,1,0
66,41,138,92962,2,3.6,2,269,0,0,0,0,0
39,25,103,90208,3,0.3,1,240,0,0,0,1,1
43,28,207,95959,1,0.0,1,0,0,0,0,1,0
31,7,27,94009,1,0.3,3,117,0,0,0,0,0
32,7,117,93338,2,0.0,1,225,0,0,0,0,0
34,13,47,94792,4,2.1,1,0,0,0,0,1,1
50,21,58,92257,1,2.7,3,0,0,0,0,1,0
43,30,145,91059,2,3.5,1,0,0,0,1,1,0
